,jump_size,Ratio,clip_change_max,Fitness,Period_performance,Change_performance
0,0.1,0.1,0.25,0.6636327682157072,0.8731277336817101,0.45413780274970417
1,0.1,0.1,0.25,0.731550150475925,0.9222398270641291,0.540860473887721
2,0.1,0.1,0.25,0.6700378058369941,0.9757899327512886,0.36428567892269975
3,0.1,0.1,0.25,0.8359503992614129,0.9012355743079287,0.7706652242148971
4,0.1,0.1,0.25,0.8575699583551352,0.9902199861772875,0.7249199305329829
5,0.1,0.1,0.25,0.648681533789093,0.9655814682108181,0.3317815993673679
6,0.1,0.1,0.25,0.7029205308350195,0.7995445861749096,0.6062964754951292
7,0.1,0.1,0.25,0.653639385963523,0.9116240404465012,0.39565473148054475
8,0.1,0.1,0.25,0.7185484349050093,0.9076547438641764,0.5294421259458421
9,0.1,0.1,0.25,0.7588182639329061,0.8414193956216489,0.6762171322441632
10,0.1,0.1,0.25,0.6654133995286943,0.9605430903759351,0.37028370868145344
11,0.1,0.1,0.25,0.65070415584759,0.9138451479200715,0.38756316377510847
12,0.1,0.1,0.25,0.7746625364248044,0.9927892835279222,0.5565357893216867
13,0.1,0.1,0.25,0.8996645450308682,0.9470425313328784,0.8522865587288582
14,0.1,0.1,0.25,0.652795748925273,0.9721449936943509,0.3334465041561951
15,0.1,0.1,0.25,0.6608013634592056,0.9959782267819544,0.32562450013645683
16,0.1,0.1,0.25,0.6208098248672568,0.9049046166809325,0.33671503305358114
17,0.1,0.1,0.25,0.8923212724749893,0.8904352677564518,0.8942072771935268
18,0.1,0.1,0.25,0.5971416526424327,0.8479215044233737,0.34636180086149165
19,0.1,0.1,0.25,0.7529913007546041,0.8104613043811272,0.6955212971280811
20,0.1,0.2,0.25,0.6681805863639572,0.9936803726368332,0.34268080009108115
21,0.1,0.2,0.25,0.6598533310855239,0.9261024402591396,0.39360422191190836
22,0.1,0.2,0.25,0.6541346591237011,0.960556766490691,0.3477125517567112
23,0.1,0.2,0.25,0.8116814647113819,0.7659574686376137,0.85740546078515
24,0.1,0.2,0.25,0.6533580676872883,0.8390022250424551,0.4677139103321214
25,0.1,0.2,0.25,0.66244645047432,0.992217468063197,0.33267543288544316
26,0.1,0.2,0.25,0.68590225511808,0.8335717541524882,0.5382327560836718
27,0.1,0.2,0.25,0.6598663871349152,0.8965724432156612,0.42316033105416917
28,0.1,0.2,0.25,0.5769469601196905,0.8059964772767798,0.3478974429626011
29,0.1,0.2,0.25,0.6968598002061087,0.9913442346274278,0.40237536578478955
30,0.1,0.2,0.25,0.680272051573394,0.9948239345043322,0.3657201686424558
31,0.1,0.2,0.25,0.8447648720513827,0.9315042002382566,0.7580255438645087
32,0.1,0.2,0.25,0.6492068480450727,0.9019783398515351,0.3964353562386102
