,jump_size,Ratio,clip_change_max,Fitness,Period_performance,Change_performance
0,0.1,0.1,0.25,0.9159061629815739,0.8663059669159634,0.9655063590471843
1,0.1,0.1,0.25,0.9480774292404242,0.9850248262412095,0.9111300322396387
2,0.1,0.1,0.25,0.4728788428536117,0.53254065214944,0.4132170335577834
3,0.1,0.1,0.25,0.9189765723651806,0.9646980663583598,0.8732550783720014
4,0.1,0.1,0.25,0.9870436905494051,0.9917558717036754,0.9823315093951347
5,0.1,0.1,0.25,0.8356082074405762,0.8450155779567547,0.8262008369243975
6,0.1,0.1,0.25,0.6743112629780702,0.34862252595614035,1.0
7,0.1,0.1,0.25,0.9632833135121149,0.9673882724610877,0.9591783545631422
8,0.1,0.1,0.25,0.9427864095035401,0.9529608675153234,0.9326119514917569
9,0.1,0.1,0.25,0.8220740450070287,0.9367216355906692,0.7074264544233883
10,0.1,0.1,0.25,0.7708940462201332,0.5417880924402664,1.0
11,0.1,0.1,0.25,0.9650185990980459,0.9948254990547595,0.9352116991413323
12,0.1,0.1,0.25,0.870916712732633,0.7418334254652661,1.0
13,0.1,0.1,0.25,0.7938521698078411,0.7887978314213778,0.7989065081943045
14,0.1,0.1,0.25,0.7621416739556497,0.5251113852403955,0.999171962670904
15,0.1,0.1,0.25,0.6744593948645834,0.3489187897291669,1.0
16,0.1,0.1,0.25,0.9471632977421716,0.974442876008558,0.9198837194757851
17,0.1,0.1,0.25,0.854425740976556,0.8802411637224007,0.8286103182307113
18,0.1,0.1,0.25,0.6471373766446727,0.29427475328934555,1.0
19,0.1,0.1,0.25,0.8123441092487027,0.64515243614724,0.9795357823501654
20,0.1,0.2,0.25,0.7856220510851954,0.7181437400107885,0.8531003621596025
21,0.1,0.2,0.25,0.6945981977093765,0.3891963954187529,1.0
22,0.1,0.2,0.25,0.8742557222877805,0.8317291473294847,0.9167822972460762
23,0.1,0.2,0.25,0.9443310395356855,0.8886620790713711,1.0
24,0.1,0.2,0.25,0.7890795398634062,0.9443442251590617,0.6338148545677507
25,0.1,0.2,0.25,0.9748705532126658,0.9797371902822187,0.9700039161431129
26,0.1,0.2,0.25,0.664075131532901,0.3281502630658019,1.0
27,0.1,0.2,0.25,0.6723470382909524,0.34469407658190476,1.0
28,0.1,0.2,0.25,0.6368255196188292,0.44767572323044197,0.8259753160072164
29,0.1,0.2,0.25,0.6842831928824974,0.36856638576499473,1.0
30,0.1,0.2,0.25,0.9020935039545009,0.8041870079090019,1.0
31,0.1,0.2,0.25,0.7090464399837579,0.4180928799675159,1.0
32,0.1,0.2,0.25,0.948320785562758,0.896641571125516,1.0
33,0.1,0.2,0.25,0.9701714703871522,0.9880237369890837,0.9523192037852208
34,0.1,0.2,0.25,0.9778162609930092,0.9723939038788121,0.9832386181072063
35,0.1,0.2,0.25,0.6760703874997896,0.35214077499957935,1.0
36,0.1,0.2,0.25,0.3701953494616821,0.31773429967501116,0.4226563992483531
37,0.1,0.2,0.25,0.7431329558694805,0.486265911738961,1.0
38,0.1,0.2,0.25,0.5609236782379973,0.3069214793408039,0.8149258771351906
39,0.1,0.2,0.25,0.6918546448799054,0.38370928975981095,1.0
40,0.1,0.3,0.25,0.9342286892268152,0.8684573784536306,1.0
41,0.1,0.3,0.25,0.9860184492809696,0.981663754610755,0.9903731439511844
42,0.1,0.3,0.25,0.9709809945589549,0.9896131244192378,0.952348864698672
43,0.1,0.3,0.25,0.9891271676809258,0.9844622811795742,0.9937920541822773
44,0.1,0.3,0.25,0.6617142527154743,0.32342850543094875,1.0
45,0.1,0.3,0.25,0.9583012453264534,0.9166024906529068,1.0
46,0.1,0.3,0.25,0.7203441067743656,0.4406882135487311,1.0
47,0.1,0.3,0.25,0.8957876140543692,0.8332116113232547,0.9583636167854839
48,0.1,0.3,0.25,0.9045597151625886,0.8835694638973327,0.9255499664278445
49,0.1,0.3,0.25,0.8659717529069795,0.9324983297510274,0.7994451760629316
50,0.1,0.3,0.25,0.7474883034665604,0.49497660693312073,1.0
51,0.1,0.3,0.25,0.677171306297928,0.5641431642905698,0.7901994483052862
52,0.1,0.3,0.25,0.668009248474884,0.336018496949768,1.0
53,0.1,0.3,0.25,0.805739011975962,0.7058616635324362,0.9056163604194879
54,0.1,0.3,0.25,0.8938024033498102,0.8346426313572967,0.9529621753423239
55,0.1,0.3,0.25,0.683076779935953,0.3661535598719059,1.0
56,0.1,0.3,0.25,0.778056949515284,0.952681684003865,0.6034322150267032
57,0.1,0.3,0.25,0.7133936629393666,0.4267873258787331,1.0
58,0.1,0.3,0.25,0.8994252419667055,0.798850483933411,1.0
59,0.1,0.3,0.25,0.779936697746024,0.5598733954920482,1.0
60,0.1,0.4,0.25,0.9362398770141296,0.9813135989974402,0.891166155030819
61,0.1,0.4,0.25,0.8229966063620535,0.6459932127241069,1.0
62,0.1,0.4,0.25,0.7975621066967221,0.5951242133934442,1.0
63,0.1,0.4,0.25,0.9850670577548024,0.9938937165561211,0.9762403989534836
64,0.1,0.4,0.25,0.9518573523411591,0.97479492228473,0.9289197823975882
65,0.1,0.4,0.25,0.7200882955214631,0.44017659104292634,1.0
66,0.1,0.4,0.25,0.6139468219889652,0.3231993401024878,0.9046943038754426
67,0.1,0.4,0.25,0.690833118260338,0.3816662365206759,1.0
68,0.1,0.4,0.25,0.7408852473381164,0.4817704946762329,1.0
69,0.1,0.4,0.25,0.6537439457424352,0.30748789148487055,1.0
70,0.1,0.4,0.25,0.9862687881790388,0.9880955154338964,0.9844420609241813
71,0.1,0.4,0.25,0.9630816605279591,0.9613175413041138,0.9648457797518043
72,0.1,0.4,0.25,0.7571042421138883,0.5142084842277767,1.0
73,0.1,0.4,0.25,0.8046735627650882,0.6093471255301763,1.0
74,0.1,0.4,0.25,0.8804146928354568,0.8153601365089368,0.9454692491619768
75,0.1,0.4,0.25,0.9797024207613526,0.9839251686447912,0.975479672877914
76,0.1,0.4,0.25,0.9760279971057816,0.9951944310935947,0.9568615631179684
77,0.1,0.4,0.25,0.6876460494955469,0.3752920989910937,1.0
78,0.1,0.4,0.25,0.7675177711316634,0.535035542263327,1.0
79,0.1,0.4,0.25,0.7731951152059848,0.5463902304119697,1.0
80,0.1,0.5,0.25,0.43441310987017834,0.4310988434646732,0.43772737627568353
81,0.1,0.5,0.25,0.8582668881007269,0.9500351517802929,0.7664986244211611
82,0.1,0.5,0.25,0.7085105876930043,0.41702117538600864,1.0
83,0.1,0.5,0.25,0.47778588313748227,0.48705721311335143,0.4685145531616131
84,0.1,0.5,0.25,0.8828128079547604,0.8009769736355246,0.9646486422739962
85,0.1,0.5,0.25,0.9589696030876325,0.9568173166702582,0.9611218895050069
86,0.1,0.5,0.25,0.7006334487748566,0.4012668975497131,1.0
87,0.1,0.5,0.25,0.8154591003172474,0.6405317547440421,0.9903864458904528
88,0.1,0.5,0.25,0.7078879291983566,0.4157758583967132,1.0
89,0.1,0.5,0.25,0.703518610696311,0.4070372213926221,1.0
90,0.1,0.5,0.25,0.9450498505918861,0.8900997011837722,1.0
91,0.1,0.5,0.25,0.7886395528058339,0.9069817830520096,0.6702973225596582
92,0.1,0.5,0.25,0.96954118616237,0.9466504826410489,0.9924318896836909
93,0.1,0.5,0.25,0.7118008004971732,0.4236016009943464,1.0
94,0.1,0.5,0.25,0.647522713269763,0.2950454265395258,1.0
95,0.1,0.5,0.25,0.6995614381184938,0.39912287623698756,1.0
96,0.1,0.5,0.25,0.7397471360446065,0.49380425808118283,0.9856900140080301
97,0.1,0.5,0.25,0.6735815754043972,0.3471631508087944,1.0
98,0.1,0.5,0.25,0.7045446047946264,0.40908920958925293,1.0
99,0.1,0.5,0.25,0.9320870073175378,0.9247835056550653,0.9393905089800103
100,0.1,0.6,0.25,0.7244763026115073,0.4538826861261882,0.9950699190968263
101,0.1,0.6,0.25,0.7642765763832776,0.5285531527665552,1.0
102,0.1,0.6,0.25,0.8638193049923081,0.8224321142822514,0.9052064957023648
103,0.1,0.6,0.25,0.6992873430084162,0.40267286044255707,0.9959018255742754
104,0.1,0.6,0.25,0.8027517462334106,0.653562070573783,0.9519414218930381
105,0.1,0.6,0.25,0.7209661423928313,0.4419322847856627,1.0
106,0.1,0.6,0.25,0.9120772836251503,0.9348498560814502,0.8893047111688503
107,0.1,0.6,0.25,0.9746105298834079,0.9711071224606349,0.9781139373061809
108,0.1,0.6,0.25,0.6843386290029531,0.3686772580059061,1.0
109,0.1,0.6,0.25,0.7342101788860458,0.4684203577720917,1.0
110,0.1,0.6,0.25,0.6589533764245563,0.31790675284911263,1.0
111,0.1,0.6,0.25,0.6788641220864222,0.35772824417284455,1.0
112,0.1,0.6,0.25,0.6829074904088851,0.36581498081777014,1.0
113,0.1,0.6,0.25,0.6775206244541498,0.5675967496741802,0.7874444992341194
114,0.1,0.6,0.25,0.9620022250238174,0.9818889194475003,0.9421155306001343
115,0.1,0.6,0.25,0.6997395164282143,0.39947903285642855,1.0
116,0.1,0.6,0.25,0.8135054413599592,0.9275078470097433,0.6995030357101749
117,0.1,0.6,0.25,0.8721098506056779,0.8053831480468989,0.9388365531644569
118,0.1,0.6,0.25,0.9751064870615104,0.9936412893716554,0.9565716847513653
119,0.1,0.6,0.25,0.6917623410794356,0.3835246821588712,1.0
120,0.1,0.7,0.25,0.9643191099277562,0.9713611485109697,0.9572770713445428
121,0.1,0.7,0.25,0.9705508570369266,0.9411017140738531,1.0
122,0.1,0.7,0.25,0.42984466056354537,0.8595757202699458,0.00011360085714500941
123,0.1,0.7,0.25,0.932179460302105,0.9455314221000497,0.9188274985041603
124,0.1,0.7,0.25,0.7002327935397503,0.40046558707950075,1.0
125,0.1,0.7,0.25,0.6616581045683402,0.32331620913668035,1.0
126,0.1,0.7,0.25,0.9040972273723207,0.867838541329989,0.9403559134146523
127,0.1,0.7,0.25,0.9653419197420662,0.9687964247187544,0.961887414765378
128,0.1,0.7,0.25,0.5698334615166987,0.7258768898325956,0.4137900332008018
129,0.1,0.7,0.25,0.864950938000167,0.7812555352379762,0.9486463407623577
130,0.1,0.7,0.25,0.676995613235855,0.3539912264717101,1.0
131,0.1,0.7,0.25,0.6577399611917518,0.31547992238350375,1.0
132,0.1,0.7,0.25,0.9362439562731091,0.9262190676520895,0.9462688448941285
133,0.1,0.7,0.25,0.7839743734861122,0.8515299888645165,0.7164187581077078
134,0.1,0.7,0.25,0.9388799923946212,0.9783313197110681,0.8994286650781741
135,0.1,0.7,0.25,0.8661309668265911,0.732261933653182,1.0
136,0.1,0.7,0.25,0.46743836970499886,0.934841287487104,3.545192289368856e-05
137,0.1,0.7,0.25,0.9118413169283917,0.8746917709935874,0.9489908628631958
138,0.1,0.7,0.25,0.7010310585770777,0.40206211715415535,1.0
139,0.1,0.7,0.25,0.6469550988912409,0.2939101977824818,1.0
140,0.1,0.8,0.25,0.9614628678646913,0.9229257357293825,1.0
141,0.1,0.8,0.25,0.976299374160778,0.9867669459253617,0.9658318023961944
142,0.1,0.8,0.25,0.8948622995469113,0.932951734682419,0.8567728644114035
143,0.1,0.8,0.25,0.7889739631160053,0.8551249017660105,0.722823024466
144,0.1,0.8,0.25,0.45051264219139964,0.8977631829430799,0.003262101439719367
145,0.1,0.8,0.25,0.7454272513603142,0.49085450272062847,1.0
146,0.1,0.8,0.25,0.4632997701047781,0.3727651962768672,0.5538343439326889
147,0.1,0.8,0.25,0.7144525311945777,0.4289050623891556,1.0
148,0.1,0.8,0.25,0.6846001892691377,0.36920037853827536,1.0
149,0.1,0.8,0.25,0.8469976817146982,0.6939953634293964,1.0
150,0.1,0.8,0.25,0.8971558396426942,0.9515006568042252,0.8428110224811632
151,0.1,0.8,0.25,0.47110154904408946,0.9422030212190675,7.686911145758183e-08
152,0.1,0.8,0.25,0.9579260075920155,0.9782566849470127,0.9375953302370182
153,0.1,0.8,0.25,0.7021281030199619,0.4042562060399238,1.0
154,0.1,0.8,0.25,0.40901207511150817,0.8178059485455483,0.00021820167746804028
155,0.1,0.8,0.25,0.7275952468599147,0.4551904937198295,1.0
156,0.1,0.8,0.25,0.7124874014073437,0.42497480281468747,1.0
157,0.1,0.8,0.25,0.6600405955518002,0.3200811911036004,1.0
158,0.1,0.8,0.25,0.4813385207642623,0.9626680599428356,8.98158568905146e-06
159,0.1,0.8,0.25,0.9313539523068055,0.8627079046136111,1.0
160,0.1,0.9,0.25,0.9610939214366695,0.9581444372620848,0.9640434056112542
161,0.1,0.9,0.25,0.9663438934904045,0.9574839311631764,0.9752038558176327
162,0.1,0.9,0.25,0.6629430971933731,0.8643019324650865,0.4615842619216597
163,0.1,0.9,0.25,0.7088394493083147,0.4176788986166293,1.0
164,0.1,0.9,0.25,0.9221889094620901,0.8443778189241801,1.0
165,0.1,0.9,0.25,0.7893124319583509,0.710649888194814,0.8679749757218879
166,0.1,0.9,0.25,0.9352423995405182,0.9323303023848198,0.9381544966962166
167,0.1,0.9,0.25,0.9411955711663327,0.8825685256751866,0.9998226166574788
168,0.1,0.9,0.25,0.9288580193372575,0.9623848956304821,0.8953311430440328
169,0.1,0.9,0.25,0.32867606047530296,0.6572422692031809,0.00010985174742510299
170,0.1,0.9,0.25,0.6981317593044598,0.3962635186089196,1.0
171,0.1,0.9,0.25,0.7464289255883958,0.49285785117679165,1.0
172,0.1,0.9,0.25,0.4080802813305692,0.8161182267833604,4.2335877777951074e-05
173,0.1,0.9,0.25,0.9516099218256405,0.9778666159020242,0.9253532277492569
174,0.1,0.9,0.25,0.9646408762172989,0.9378145219266717,0.9914672305079262
175,0.1,0.9,0.25,0.49937629150091095,0.9987524752475246,1.0775429729233584e-07
176,0.1,0.9,0.25,0.664357797313281,0.3287155946265621,1.0
177,0.1,0.9,0.25,0.4500754953426216,0.9001313053228863,1.9685362356869352e-05
178,0.1,0.9,0.25,0.9010365321829339,0.8701129147908032,0.9319601495750646
179,0.1,0.9,0.25,0.9721990000069554,0.9851648173867158,0.959233182627195
180,0.1,0.1,0.5,0.945773138300375,0.9654232990183879,0.9261229775823622
181,0.1,0.1,0.5,0.9823560223675516,0.9651263380632316,0.9995857066718717
182,0.1,0.1,0.5,0.8884839726499376,0.9640758361378011,0.812892109162074
183,0.1,0.1,0.5,0.6186775426979573,0.5034145804871824,0.7339405049087322
184,0.1,0.1,0.5,0.8602352086584701,0.7204704173169403,1.0
185,0.1,0.1,0.5,0.6608782682402254,0.4792752249089016,0.8424813115715492
186,0.1,0.1,0.5,0.7441953369177186,0.488390673835437,1.0
187,0.1,0.1,0.5,0.9142220558711815,0.9359653176147449,0.8924787941276183
188,0.1,0.1,0.5,0.8683712958867758,0.7367425917735514,1.0
189,0.1,0.1,0.5,0.8854137085445754,0.8968388462385857,0.873988570850565
190,0.1,0.1,0.5,0.8993529075181816,0.8757213831037769,0.9229844319325865
191,0.1,0.1,0.5,0.5978378382831877,0.6730821241876637,0.5225935523787117
192,0.1,0.1,0.5,0.7461877989071841,0.4923755978143682,1.0
193,0.1,0.1,0.5,0.7171182462223438,0.43423649244468765,1.0
194,0.1,0.1,0.5,0.7623043460788872,0.9184379487603561,0.6061707433974183
195,0.1,0.1,0.5,0.9084851363875117,0.8819245789557809,0.9350456938192426
196,0.1,0.1,0.5,0.6900063688782379,0.3800127377564756,1.0
197,0.1,0.1,0.5,0.6641021356766278,0.4606833816106357,0.8675208897426199
198,0.1,0.1,0.5,0.8612279368688176,0.8907900220065619,0.8316658517310734
199,0.1,0.1,0.5,0.9030317990821364,0.9496443726962035,0.8564192254680691
200,0.1,0.2,0.5,0.9227277083556952,0.8675188901275855,0.9779365265838048
201,0.1,0.2,0.5,0.6789959869278157,0.35799197385563136,1.0
202,0.1,0.2,0.5,0.9702068731634775,0.9852930457246378,0.9551207006023172
203,0.1,0.2,0.5,0.8671203643009496,0.9108716879298053,0.8233690406720939
204,0.1,0.2,0.5,0.9478018533945827,0.9278406388039414,0.9677630679852238
205,0.1,0.2,0.5,0.9574529706391144,0.984370141380951,0.9305357998972779
206,0.1,0.2,0.5,0.6567313362026099,0.31346267240521997,1.0
207,0.1,0.2,0.5,0.9651520061180002,0.9863575780654992,0.9439464341705013
208,0.1,0.2,0.5,0.9418035087631322,0.9795655811886608,0.9040414363376038
209,0.1,0.2,0.5,0.7497672533011571,0.8255184877010406,0.6740160189012736
210,0.1,0.2,0.5,0.8289450390678157,0.6604178857502931,0.9974721923853382
211,0.1,0.2,0.5,0.9418907522907224,0.9401561022594094,0.9436254023220354
212,0.1,0.2,0.5,0.9650242679345424,0.9300485358690849,1.0
213,0.1,0.2,0.5,0.780422120514823,0.5608442410296458,1.0
214,0.1,0.2,0.5,0.8850580176868021,0.9118460701745359,0.8582699651990684
215,0.1,0.2,0.5,0.69647115067952,0.3929423013590401,1.0
216,0.1,0.2,0.5,0.7478929104161851,0.49578582083237027,1.0
217,0.1,0.2,0.5,0.8382483473865465,0.6959902592086501,0.9805064355644431
218,0.1,0.2,0.5,0.9827825231439616,0.9778409797575986,0.9877240665303246
219,0.1,0.2,0.5,0.6836381953584653,0.3672763907169306,1.0
220,0.1,0.3,0.5,0.7287509824162315,0.45750196483246297,1.0
221,0.1,0.3,0.5,0.6626289800047944,0.32525796000958873,1.0
222,0.1,0.3,0.5,0.6865574821757273,0.37311496435145464,1.0
223,0.1,0.3,0.5,0.7407395244887789,0.679357812720346,0.8021212362572119
224,0.1,0.3,0.5,0.9006584545176992,0.857825437563704,0.9434914714716943
225,0.1,0.3,0.5,0.7002370946150192,0.40047418923003836,1.0
226,0.1,0.3,0.5,0.7837452570102053,0.5674905140204106,1.0
227,0.1,0.3,0.5,0.9497197044958567,0.9342407160164172,0.9651986929752963
228,0.1,0.3,0.5,0.6972679385064204,0.5084370417398746,0.8860988352729664
229,0.1,0.3,0.5,0.6787336650415192,0.3574673300830385,1.0
230,0.1,0.3,0.5,0.6802458552854627,0.3604917105709252,1.0
231,0.1,0.3,0.5,0.6757746367384494,0.3515492734768987,1.0
232,0.1,0.3,0.5,0.8836233078119626,0.9639413919413918,0.8033052236825333
233,0.1,0.3,0.5,0.9556380919382614,0.9685101930656095,0.9427659908109134
234,0.1,0.3,0.5,0.9452265237049248,0.9586765297836547,0.9317765176261948
235,0.1,0.3,0.5,0.5996466764005826,0.5825999755739043,0.6166933772272609
236,0.1,0.3,0.5,0.9747355477575477,0.9593781871723048,0.9900929083427905
237,0.1,0.3,0.5,0.9017998942358542,0.8035997884717083,1.0
