,Fitness,Best fitness
0,0.8012533789383937,0.8012533789383937
1,0.8040623229569144,0.8040623229569144
2,0.8110131049462855,0.8110131049462855
3,0.8045952720415963,0.8110131049462855
4,0.8398511823201635,0.8398511823201635
5,0.8677707779129392,0.8677707779129392
6,0.8800421123255248,0.8800421123255248
7,0.9330430020555571,0.9330430020555571
8,0.30449621743605865,0.9330430020555571
9,0.8516490049845261,0.9330430020555571
10,0.8663583063440655,0.9330430020555571
11,0.7740405803604824,0.9330430020555571
12,0.3879599802645545,0.9330430020555571
13,0.0003319388665422836,0.9330430020555571
14,0.9519075811359026,0.9519075811359026
15,0.9699828036998335,0.9699828036998335
16,0.9113411554336543,0.9699828036998335
17,0.8575859061484393,0.9699828036998335
18,0.8782262372946003,0.9699828036998335
19,0.8961795390883626,0.9699828036998335
20,0.9171294964028777,0.9699828036998335
21,0.8712057569667641,0.9699828036998335
22,0.8538641012134665,0.9699828036998335
23,0.8389072112785454,0.9699828036998335
24,0.8999564274698357,0.9699828036998335
25,0.9306956730007012,0.9699828036998335
26,0.9524294333117862,0.9699828036998335
27,0.9295404892102173,0.9699828036998335
28,0.8628655338918144,0.9699828036998335
29,0.8062269908945476,0.9699828036998335
30,0.9340639064169012,0.9699828036998335
31,0.9689035800544477,0.9699828036998335
32,0.8496154994259472,0.9699828036998335
33,0.9429310645324867,0.9699828036998335
34,0.9093320495470754,0.9699828036998335
35,0.9131553827448942,0.9699828036998335
36,0.9245360272092401,0.9699828036998335
37,0.7202678467059012,0.9699828036998335
38,0.8212438402410298,0.9699828036998335
39,0.9764951411021305,0.9764951411021305
40,0.5890735760195359,0.9764951411021305
41,0.9518366596638655,0.9764951411021305
42,0.8409027475243542,0.9764951411021305
43,0.8373233662448704,0.9764951411021305
44,0.7956074946461599,0.9764951411021305
45,0.9353033243110236,0.9764951411021305
46,0.9400888212334114,0.9764951411021305
47,0.8985013222809901,0.9764951411021305
48,0.8653886576167857,0.9764951411021305
49,0.889250448946208,0.9764951411021305
50,0.8837812165618761,0.9764951411021305
51,0.8585962614848784,0.9764951411021305
52,0.8894353702319775,0.9764951411021305
53,0.8897017360475684,0.9764951411021305
54,0.7388291144057473,0.9764951411021305
55,0.8591716086295758,0.9764951411021305
56,0.9595402627633551,0.9764951411021305
57,0.9072458527985121,0.9764951411021305
58,0.9286739371764353,0.9764951411021305
59,0.945060055809609,0.9764951411021305
