w00,w10,fitness
-16.0,-16.0,0.0000
-15.0,-16.0,0.0000
-15.5,-16.0,0.0000
-14.0,-16.0,0.0000
-14.5,-16.0,0.0000
-12.5,-16.0,0.0000
-13.5,-16.0,0.0000
-13.0,-16.0,0.0000
-12.0,-16.0,0.0000
-11.5,-16.0,0.0000
-10.5,-16.0,0.0000
-11.0,-16.0,0.0000
-10.0,-16.0,0.0000
-9.5,-16.0,0.0000
-8.0,-16.0,0.0000
-7.5,-16.0,0.0000
-8.5,-16.0,0.0000
-7.0,-16.0,0.0000
-9.0,-16.0,0.0000
-6.5,-16.0,0.0000
-4.0,-16.0,0.0000
-4.5,-16.0,0.0000
-5.5,-16.0,0.0000
-2.5,-16.0,0.0000
-3.5,-16.0,0.0000
-3.0,-16.0,0.0000
-6.0,-16.0,0.0000
-5.0,-16.0,0.0000
-2.0,-16.0,0.0000
-1.5,-16.0,0.0000
-1.0,-16.0,0.0000
0.0,-16.0,0.0000
0.5,-16.0,0.0000
-0.5,-16.0,0.0000
3.0,-16.0,0.0000
1.5,-16.0,0.0000
1.0,-16.0,0.0000
2.5,-16.0,0.0000
2.0,-16.0,0.0000
3.5,-16.0,0.0000
4.0,-16.0,0.0925
4.5,-16.0,0.5488
7.0,-16.0,0.7956
5.0,-16.0,0.6926
5.5,-16.0,0.7599
6.0,-16.0,0.7916
6.5,-16.0,0.8000
8.0,-16.0,0.7639
7.5,-16.0,0.7819
8.5,-16.0,0.7391
9.0,-16.0,0.7141
10.5,-16.0,0.6201
10.0,-16.0,0.6551
11.0,-16.0,0.5919
11.5,-16.0,0.5540
9.5,-16.0,0.6858
12.5,-16.0,0.4758
12.0,-16.0,0.5163
13.0,-16.0,0.4489
13.5,-16.0,0.3940
14.0,-16.0,0.3496
14.5,-16.0,0.2544
-16.0,-15.5,0.0000
16.0,-16.0,0.0000
15.0,-16.0,0.1177
15.5,-16.0,0.0000
-15.0,-15.5,0.0000
-15.5,-15.5,0.0000
-14.5,-15.5,0.0000
-13.0,-15.5,0.0000
-14.0,-15.5,0.0000
-13.5,-15.5,0.0000
-12.5,-15.5,0.0000
-11.5,-15.5,0.0000
-11.0,-15.5,0.0000
-12.0,-15.5,0.0000
-10.0,-15.5,0.0000
-10.5,-15.5,0.0000
-9.5,-15.5,0.0000
-8.5,-15.5,0.0000
-9.0,-15.5,0.0000
-8.0,-15.5,0.0000
-7.0,-15.5,0.0000
-7.5,-15.5,0.0000
-6.5,-15.5,0.0000
-6.0,-15.5,0.0000
-5.5,-15.5,0.0000
-5.0,-15.5,0.0000
-4.5,-15.5,0.0000
-4.0,-15.5,0.0000
-3.0,-15.5,0.0000
-2.0,-15.5,0.0000
-3.5,-15.5,0.0000
-2.5,-15.5,0.0000
-1.5,-15.5,0.0000
-1.0,-15.5,0.0000
-0.5,-15.5,0.0000
0.0,-15.5,0.0000
0.5,-15.5,0.0000
1.0,-15.5,0.0000
1.5,-15.5,0.0000
3.5,-15.5,0.0000
2.0,-15.5,0.0000
2.5,-15.5,0.0000
3.0,-15.5,0.0000
4.5,-15.5,0.5487
4.0,-15.5,0.1238
5.0,-15.5,0.6871
5.5,-15.5,0.7522
6.0,-15.5,0.7805
6.5,-15.5,0.7880
8.0,-15.5,0.7464
7.0,-15.5,0.7823
7.5,-15.5,0.7664
9.0,-15.5,0.6937
8.5,-15.5,0.7217
9.5,-15.5,0.6681
10.0,-15.5,0.6307
10.5,-15.5,0.5928
11.5,-15.5,0.5258
11.0,-15.5,0.5627
12.0,-15.5,0.4770
12.5,-15.5,0.4454
13.5,-15.5,0.3487
13.0,-15.5,0.3913
14.0,-15.5,0.2715
14.5,-15.5,0.1163
15.0,-15.5,0.0000
15.5,-15.5,0.0000
16.0,-15.5,0.0000
-16.0,-15.0,0.0000
-15.0,-15.0,0.0000
-15.5,-15.0,0.0000
-14.5,-15.0,0.0000
-14.0,-15.0,0.0000
-13.5,-15.0,0.0000
-13.0,-15.0,0.0000
-12.5,-15.0,0.0000
-12.0,-15.0,0.0000
-11.5,-15.0,0.0000
-10.5,-15.0,0.0000
-11.0,-15.0,0.0000
-10.0,-15.0,0.0000
-9.5,-15.0,0.0000
-9.0,-15.0,0.0000
-8.0,-15.0,0.0000
-8.5,-15.0,0.0000
-7.5,-15.0,0.0000
-7.0,-15.0,0.0000
-6.5,-15.0,0.0000
-5.5,-15.0,0.0000
-6.0,-15.0,0.0000
-5.0,-15.0,0.0000
-3.5,-15.0,0.0000
-4.5,-15.0,0.0000
-4.0,-15.0,0.0000
-3.0,-15.0,0.0000
-2.5,-15.0,0.0000
-2.0,-15.0,0.0000
-1.5,-15.0,0.0000
-1.0,-15.0,0.0000
1.5,-15.0,0.0000
-0.5,-15.0,0.0000
0.5,-15.0,0.0000
0.0,-15.0,0.0000
1.0,-15.0,0.0000
2.0,-15.0,0.0000
2.5,-15.0,0.0000
3.0,-15.0,0.0000
3.5,-15.0,0.0000
5.0,-15.0,0.6795
4.0,-15.0,0.1482
4.5,-15.0,0.5461
6.0,-15.0,0.7682
5.5,-15.0,0.7425
6.5,-15.0,0.7742
7.0,-15.0,0.7661
7.5,-15.0,0.7504
8.0,-15.0,0.7273
9.5,-15.0,0.6398
11.0,-15.0,0.5376
10.0,-15.0,0.6052
9.0,-15.0,0.6722
8.5,-15.0,0.7024
10.5,-15.0,0.5707
11.5,-15.0,0.4841
12.0,-15.0,0.4340
13.0,-15.0,0.3477
12.5,-15.0,0.3936
16.0,-15.0,0.0000
15.0,-15.0,0.0000
14.5,-15.0,0.0000
13.5,-15.0,0.2363
14.0,-15.0,0.0774
15.5,-15.0,0.0000
-16.0,-14.5,0.0000
-15.5,-14.5,0.0000
-14.5,-14.5,0.0000
-15.0,-14.5,0.0000
-11.5,-14.5,0.0000
-12.0,-14.5,0.0000
-14.0,-14.5,0.0000
-13.5,-14.5,0.0000
-13.0,-14.5,0.0000
-12.5,-14.5,0.0000
-11.0,-14.5,0.0000
-10.5,-14.5,0.0000
-10.0,-14.5,0.0000
-9.5,-14.5,0.0000
-8.5,-14.5,0.0000
-7.0,-14.5,0.0000
-7.5,-14.5,0.0000
-9.0,-14.5,0.0000
-8.0,-14.5,0.0000
-6.5,-14.5,0.0000
-5.5,-14.5,0.0000
-6.0,-14.5,0.0000
-5.0,-14.5,0.0000
-4.5,-14.5,0.0000
-3.0,-14.5,0.0000
-2.5,-14.5,0.0000
-3.5,-14.5,0.0000
-4.0,-14.5,0.0000
-2.0,-14.5,0.0000
-1.5,-14.5,0.0000
-0.5,-14.5,0.0000
-1.0,-14.5,0.0000
0.0,-14.5,0.0000
0.5,-14.5,0.0000
2.0,-14.5,0.0000
1.0,-14.5,0.0000
2.5,-14.5,0.0000
1.5,-14.5,0.0000
3.0,-14.5,0.0000
3.5,-14.5,0.0000
4.0,-14.5,0.1624
4.5,-14.5,0.5410
5.0,-14.5,0.6700
5.5,-14.5,0.7300
7.5,-14.5,0.7312
7.0,-14.5,0.7509
6.5,-14.5,0.7593
6.0,-14.5,0.7543
8.0,-14.5,0.7076
8.5,-14.5,0.6755
9.0,-14.5,0.6526
9.5,-14.5,0.6150
10.0,-14.5,0.5735
10.5,-14.5,0.5390
11.0,-14.5,0.4915
11.5,-14.5,0.4496
12.5,-14.5,0.3460
12.0,-14.5,0.4060
13.0,-14.5,0.2322
13.5,-14.5,0.0382
14.5,-14.5,0.0000
14.0,-14.5,0.0000
15.0,-14.5,0.0000
15.5,-14.5,0.0000
16.0,-14.5,0.0000
-15.0,-14.0,0.0000
-16.0,-14.0,0.0000
-15.5,-14.0,0.0000
-14.5,-14.0,0.0000
-13.5,-14.0,0.0000
-13.0,-14.0,0.0000
-14.0,-14.0,0.0000
-12.5,-14.0,0.0000
-12.0,-14.0,0.0000
-11.5,-14.0,0.0000
-10.5,-14.0,0.0000
-11.0,-14.0,0.0000
-10.0,-14.0,0.0000
-9.5,-14.0,0.0000
-9.0,-14.0,0.0000
-8.0,-14.0,0.0000
-8.5,-14.0,0.0000
-7.5,-14.0,0.0000
-7.0,-14.0,0.0000
-6.5,-14.0,0.0000
-6.0,-14.0,0.0000
-5.5,-14.0,0.0000
-5.0,-14.0,0.0000
-4.5,-14.0,0.0000
-3.5,-14.0,0.0000
