w00,w10,fitness
-16.0,-16.0,0.0344
-15.5,-16.0,0.0342
-15.0,-16.0,0.0340
-14.5,-16.0,0.0338
-13.5,-16.0,0.0335
-14.0,-16.0,0.0336
-13.0,-16.0,0.0335
-12.5,-16.0,0.0335
-12.0,-16.0,0.0337
-11.5,-16.0,0.0340
-11.0,-16.0,0.0346
-10.5,-16.0,0.0354
-10.0,-16.0,0.0365
-9.0,-16.0,0.0402
-8.5,-16.0,0.0429
-9.5,-16.0,0.0380
-8.0,-16.0,0.0465
-7.5,-16.0,0.0510
-6.0,-16.0,0.0714
-5.0,-16.0,0.0910
-7.0,-16.0,0.0566
-6.5,-16.0,0.0634
-5.5,-16.0,0.0806
-4.5,-16.0,0.1025
-4.0,-16.0,0.1152
-3.5,-16.0,0.1289
-2.5,-16.0,0.1594
-3.0,-16.0,0.1436
-1.5,-16.0,0.1955
-2.0,-16.0,0.1766
-1.0,-16.0,0.2165
-0.5,-16.0,0.2402
0.0,-16.0,0.2674
1.5,-16.0,0.3797
1.0,-16.0,0.3363
2.5,-16.0,0.4851
3.0,-16.0,0.5441
4.0,-16.0,0.6502
4.5,-16.0,0.6883
5.0,-16.0,0.7122
5.5,-16.0,0.7208
6.0,-16.0,0.7210
7.0,-16.0,0.6978
9.0,-16.0,0.6232
6.5,-16.0,0.7129
7.5,-16.0,0.6857
8.5,-16.0,0.6373
8.0,-16.0,0.6627
10.0,-16.0,0.5610
9.5,-16.0,0.5989
10.5,-16.0,0.5316
11.0,-16.0,0.4932
11.5,-16.0,0.4583
12.5,-16.0,0.4372
13.5,-16.0,0.2968
12.0,-16.0,0.4447
14.0,-16.0,0.2515
13.0,-16.0,0.3647
14.5,-16.0,0.2468
15.0,-16.0,0.0544
15.5,-16.0,0.0518
16.0,-16.0,0.0512
-16.0,-15.5,0.0344
-15.5,-15.5,0.0341
-15.0,-15.5,0.0339
-13.5,-15.5,0.0335
-14.5,-15.5,0.0337
-14.0,-15.5,0.0336
-13.0,-15.5,0.0335
-12.0,-15.5,0.0337
-12.5,-15.5,0.0335
-11.5,-15.5,0.0340
-11.0,-15.5,0.0345
-10.5,-15.5,0.0353
-10.0,-15.5,0.0364
-9.0,-15.5,0.0401
-8.5,-15.5,0.0429
-9.5,-15.5,0.0380
-8.0,-15.5,0.0465
-7.5,-15.5,0.0510
