w11,w01,fitness
-15.5,-13.0,0.0000
-15.0,-13.0,0.0000
-14.0,-13.0,0.0000
-14.5,-13.0,0.0000
-13.5,-13.0,0.0000
-13.0,-13.0,0.0000
-12.5,-13.0,0.0000
-12.0,-13.0,0.0000
-11.5,-13.0,0.0000
-11.0,-13.0,0.0000
-10.5,-13.0,0.0000
-10.0,-13.0,0.0000
-9.5,-13.0,0.0000
-9.0,-13.0,0.0000
-8.0,-13.0,0.0000
-8.5,-13.0,0.0000
-7.5,-13.0,0.0000
-7.0,-13.0,0.0000
-6.5,-13.0,0.0000
-6.0,-13.0,0.0000
-5.5,-13.0,0.0000
-4.5,-13.0,0.0000
-5.0,-13.0,0.0000
-3.0,-13.0,0.0000
-4.0,-13.0,0.0000
-3.5,-13.0,0.0000
-2.5,-13.0,0.0000
-2.0,-13.0,0.0000
-1.5,-13.0,0.0000
-1.0,-13.0,0.0000
-0.5,-13.0,0.0000
0.5,-13.0,0.0000
0.0,-13.0,0.0000
1.5,-13.0,0.0000
1.0,-13.0,0.0000
2.5,-13.0,0.0000
2.0,-13.0,0.0000
3.0,-13.0,0.0000
3.5,-13.0,0.0000
4.0,-13.0,0.0000
4.5,-13.0,0.0000
5.0,-13.0,0.0000
5.5,-13.0,0.0000
6.0,-13.0,0.0000
6.5,-13.0,0.0000
7.0,-13.0,0.0000
7.5,-13.0,0.0000
8.5,-13.0,0.0000
8.0,-13.0,0.0000
9.0,-13.0,0.0000
9.5,-13.0,0.0000
10.0,-13.0,0.0000
10.5,-13.0,0.0000
11.0,-13.0,0.0000
11.5,-13.0,0.0000
12.0,-13.0,0.0000
12.5,-13.0,0.0000
13.0,-13.0,0.0000
13.5,-13.0,0.0000
14.0,-13.0,0.0000
14.5,-13.0,0.0000
15.5,-13.0,0.0000
15.0,-13.0,0.0000
16.0,-13.0,0.0000
-15.5,-12.5,0.0000
-16.0,-12.5,0.0000
-14.5,-12.5,0.0000
-15.0,-12.5,0.0000
-14.0,-12.5,0.0000
-13.5,-12.5,0.0000
-13.0,-12.5,0.0000
-12.0,-12.5,0.0000
-12.5,-12.5,0.0000
-10.0,-12.5,0.0000
-11.5,-12.5,0.0000
-11.0,-12.5,0.0000
-10.5,-12.5,0.0000
-9.5,-12.5,0.0000
-9.0,-12.5,0.0000
-8.5,-12.5,0.0000
-8.0,-12.5,0.0000
-7.0,-12.5,0.0000
-7.5,-12.5,0.0000
-6.0,-12.5,0.0000
-6.5,-12.5,0.0000
-5.5,-12.5,0.0000
-5.0,-12.5,0.0000
-4.5,-12.5,0.0000
-4.0,-12.5,0.0000
-3.5,-12.5,0.0000
-3.0,-12.5,0.0000
-2.5,-12.5,0.0000
-2.0,-12.5,0.0000
-1.5,-12.5,0.0000
-1.0,-12.5,0.0000
-0.5,-12.5,0.0000
0.0,-12.5,0.0000
0.5,-12.5,0.0000
1.0,-12.5,0.0000
1.5,-12.5,0.0000
2.0,-12.5,0.0000
2.5,-12.5,0.0000
3.0,-12.5,0.0000
3.5,-12.5,0.0000
4.0,-12.5,0.0000
4.5,-12.5,0.0000
5.5,-12.5,0.0000
5.0,-12.5,0.0000
6.0,-12.5,0.0000
6.5,-12.5,0.0000
7.0,-12.5,0.0000
7.5,-12.5,0.0000
8.0,-12.5,0.0000
8.5,-12.5,0.0000
9.0,-12.5,0.0000
9.5,-12.5,0.0000
10.0,-12.5,0.0000
10.5,-12.5,0.0000
11.0,-12.5,0.0000
11.5,-12.5,0.0000
12.0,-12.5,0.0000
12.5,-12.5,0.0000
13.0,-12.5,0.0000
13.5,-12.5,0.0000
14.0,-12.5,0.0000
15.0,-12.5,0.0000
14.5,-12.5,0.0000
16.0,-12.5,0.0000
15.5,-12.5,0.0000
-16.0,-12.0,0.0000
-15.0,-12.0,0.0000
-15.5,-12.0,0.0000
-14.5,-12.0,0.0000
-14.0,-12.0,0.0000
-13.5,-12.0,0.0000
-13.0,-12.0,0.0000
-12.5,-12.0,0.0000
-12.0,-12.0,0.0000
-11.5,-12.0,0.0000
-11.0,-12.0,0.0000
-10.0,-12.0,0.0000
-9.5,-12.0,0.0000
-10.5,-12.0,0.0000
-9.0,-12.0,0.0000
-8.0,-12.0,0.0000
-7.5,-12.0,0.0000
-8.5,-12.0,0.0000
-7.0,-12.0,0.0000
-6.5,-12.0,0.0000
-6.0,-12.0,0.0000
-5.0,-12.0,0.0000
-5.5,-12.0,0.0000
-4.5,-12.0,0.0000
-4.0,-12.0,0.0000
-3.5,-12.0,0.0000
-2.5,-12.0,0.0000
-3.0,-12.0,0.0000
-2.0,-12.0,0.0000
-1.5,-12.0,0.0000
-1.0,-12.0,0.0000
-0.5,-12.0,0.0000
0.0,-12.0,0.0000
0.5,-12.0,0.0000
1.0,-12.0,0.0000
3.0,-12.0,0.0000
2.5,-12.0,0.0000
1.5,-12.0,0.0000
2.0,-12.0,0.0000
3.5,-12.0,0.0000
4.0,-12.0,0.0000
4.5,-12.0,0.0000
5.5,-12.0,0.0000
5.0,-12.0,0.0000
6.0,-12.0,0.0000
6.5,-12.0,0.0000
7.5,-12.0,0.0000
8.0,-12.0,0.0000
7.0,-12.0,0.0000
8.5,-12.0,0.0000
9.0,-12.0,0.0000
9.5,-12.0,0.0000
10.5,-12.0,0.0000
10.0,-12.0,0.0000
11.0,-12.0,0.0000
11.5,-12.0,0.0000
13.0,-12.0,0.0000
12.5,-12.0,0.0000
12.0,-12.0,0.0000
14.0,-12.0,0.0000
13.5,-12.0,0.0000
14.5,-12.0,0.0000
15.5,-12.0,0.0000
15.0,-12.0,0.0000
16.0,-12.0,0.0000
-15.5,-11.5,0.0000
-16.0,-11.5,0.0000
-15.0,-11.5,0.0000
-14.5,-11.5,0.0000
-14.0,-11.5,0.0000
-13.5,-11.5,0.0000
-13.0,-11.5,0.0000
-12.5,-11.5,0.0000
-12.0,-11.5,0.0000
-11.5,-11.5,0.0000
-11.0,-11.5,0.0000
-10.5,-11.5,0.0000
-9.5,-11.5,0.0000
-10.0,-11.5,0.0000
-9.0,-11.5,0.0000
-8.5,-11.5,0.0000
-8.0,-11.5,0.0000
-7.5,-11.5,0.0000
-7.0,-11.5,0.0000
-6.5,-11.5,0.0000
-5.5,-11.5,0.0000
-6.0,-11.5,0.0000
-5.0,-11.5,0.0000
-4.5,-11.5,0.0000
-4.0,-11.5,0.0000
-3.5,-11.5,0.0000
