,step,best_fitness,current_fitness
0,0,0.11757257188418721,0.11757257188418721
1,1,0.11757257188418721,0.004998335263710537
2,2,0.11757257188418721,0.013290242693349153
3,3,0.11757257188418721,0.0029686753562411603
4,4,0.11757257188418721,0.03914737666658945
5,5,0.11757257188418721,0.013436635352811166
6,6,0.11757257188418721,0.0009545978571839792
7,7,0.11757257188418721,0.002877075648829033
8,8,0.11757257188418721,0.013901600080932382
9,9,0.11757257188418721,0.004575730483024608
10,10,0.11757257188418721,0.001896031650920431
11,11,0.11757257188418721,0.0023476512728745507
12,12,0.11757257188418721,0.0005347465362449092
13,13,0.11757257188418721,0.0003230560375111852
14,14,0.11757257188418721,0.0009425804247991376
15,15,0.11757257188418721,0.005113819737179814
16,16,0.11757257188418721,0.004848595785187957
17,17,0.11757257188418721,0.00036631373613128066
18,18,0.11757257188418721,0.003658010881336051
19,19,0.11757257188418721,0.0031869986719260585
20,20,0.11757257188418721,0.0075089466502714156
21,21,0.11757257188418721,0.0010044506491373784
22,22,0.11757257188418721,0.01732866749484549
23,23,0.11757257188418721,0.004126249757694387
24,24,0.11757257188418721,0.010877058882812058
25,25,0.11757257188418721,0.009267296519741454
26,26,0.11757257188418721,0.021712290361154418
27,27,0.11757257188418721,0.013830701673056386
28,28,0.11757257188418721,0.032178661856645835
29,29,0.11757257188418721,0.0036661317915617914
30,30,0.11757257188418721,0.0008018030091329027
31,31,0.11757257188418721,0.0033418519925105033
32,32,0.11757257188418721,0.010992297173900812
33,33,0.11757257188418721,0.0008245072078512667
34,34,0.11757257188418721,0.009039228919792919
35,35,0.11757257188418721,0.010968126654175885
36,36,0.11757257188418721,0.0014785158694276938
37,37,0.11757257188418721,0.005925931443848896
38,38,0.11757257188418721,0.0035540456645089306
39,39,0.11757257188418721,0.007010749235124411
40,40,0.11757257188418721,0.0074643316048252015
41,41,0.11757257188418721,0.0032927578224375255
42,42,0.11757257188418721,0.000498824284226681
43,43,0.11757257188418721,0.019953928979634963
44,44,0.11757257188418721,0.00914689346017963
45,45,0.11757257188418721,0.034855701626836474
46,46,0.11757257188418721,0.004279134557696608
47,47,0.11757257188418721,0.0051335392686122725
48,48,0.11757257188418721,0.010346637200715813
49,49,0.11757257188418721,0.01144707161651468
50,50,0.11757257188418721,0.025025364512696168
51,51,0.11757257188418721,0.018431762606735968
52,52,0.11757257188418721,0.009809399276163616
53,53,0.11757257188418721,0.007292688140590127
54,54,0.11757257188418721,0.006691651448032197
55,55,0.11757257188418721,0.015026400839966734
56,56,0.11757257188418721,0.015894688017434593
57,57,0.11757257188418721,0.022516489748517835
58,58,0.11757257188418721,0.027797289220753685
59,59,0.11757257188418721,0.005348630055739937
60,60,0.11757257188418721,0.010168427969346316
61,61,0.11757257188418721,0.0017544255667240928
62,62,0.11757257188418721,0.0037459990451704887
63,63,0.11757257188418721,0.0014692346491546522
64,64,0.11757257188418721,0.0036518097589819005
65,65,0.11757257188418721,0.00012119215551067012
66,66,0.11757257188418721,0.0014709276228502192
67,67,0.11757257188418721,0.002603550138834774
68,68,0.11757257188418721,0.0020022658133411237
69,69,0.11757257188418721,0.000770359737409381
70,70,0.11757257188418721,0.009466509811775398
71,71,0.11757257188418721,0.00404599578996775
72,72,0.11757257188418721,0.0011420656681200645
73,73,0.11757257188418721,0.0014665579979584885
74,74,0.11757257188418721,0.00655695457535041
75,75,0.11757257188418721,0.027257176257030558
76,76,0.11757257188418721,0.024448202953127777
77,77,0.11757257188418721,0.008023866464502392
78,78,0.11757257188418721,0.017597665290001865
79,79,0.11757257188418721,0.025171293805086446
80,80,0.11757257188418721,0.04050386474239094
81,81,0.11757257188418721,0.010882727587918152
82,82,0.11757257188418721,0.00025810501493239225
83,83,0.11757257188418721,0.004690563573158271
84,84,0.11757257188418721,0.013414487613558188
85,85,0.11757257188418721,0.003990927553189359
86,86,0.11757257188418721,0.013121788255378
87,87,0.11757257188418721,0.023402567950980658
88,88,0.11757257188418721,0.011257635828285964
89,89,0.11757257188418721,0.00033180203379081386
90,90,0.11757257188418721,0.002996049134146763
91,91,0.11757257188418721,0.007969294272247563
92,92,0.11757257188418721,0.018271084972696403
93,93,0.11757257188418721,0.010853155359386767
94,94,0.11757257188418721,0.0032346806411600016
95,95,0.11757257188418721,0.006516576798175642
96,96,0.11757257188418721,0.007886970062283151
97,97,0.11757257188418721,0.011707213919567534
98,98,0.11757257188418721,0.005984226422450431
99,99,0.11757257188418721,0.013217870786972109
100,100,0.11757257188418721,0.007877148693145267
101,101,0.11757257188418721,0.000245419577143924
102,102,0.11757257188418721,0.001593451648055835
103,103,0.11757257188418721,0.058956467661799114
104,104,0.11757257188418721,0.014779920812478215
105,105,0.11757257188418721,0.00023261049652471976
106,106,0.11757257188418721,0.000565605204076512
107,107,0.11757257188418721,0.0034412431186564368
108,108,0.11757257188418721,0.002935679052631819
109,109,0.11757257188418721,0.0019104301312774254
110,110,0.11757257188418721,0.001983205232184434
111,111,0.11757257188418721,0.00033240502582032084
112,112,0.11757257188418721,0.0005524549557911931
113,113,0.11757257188418721,0.0004817175892260256
114,114,0.11757257188418721,0.0011330951095450121
115,115,0.11757257188418721,0.0036372511494926923
116,116,0.11757257188418721,0.0033063712102841584
117,117,0.11757257188418721,0.0021454675213218024
118,118,0.11757257188418721,0.013303660756604916
119,119,0.11757257188418721,0.017500884618939422
120,120,0.11757257188418721,0.016690097875653887
121,121,0.11757257188418721,0.02331133540618506
122,122,0.11757257188418721,0.006530743022299662
123,123,0.11757257188418721,0.010924864745890012
