time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.633074,0.008869,-10.00,8.00,-8.00,-10.00,-6.77,10.97,-4.36,-6.94,
2.00,4.00,0.0000,-0.0496,-0.0098,0.630028,0.043074,-10.00,8.00,-8.00,-10.00,-6.18,11.98,-4.98,-6.06,
3.00,4.00,0.0000,-0.0491,-0.0148,0.526403,0.039325,-10.00,8.00,-8.00,-10.00,-8.71,10.35,-9.13,-8.00,
4.00,4.00,0.0000,-0.0495,-0.0197,0.413768,0.008378,-10.00,8.00,-8.00,-10.00,-12.29,7.17,-11.96,-11.37,
5.00,4.00,0.0000,-0.0499,-0.0247,0.365350,0.001624,-10.00,8.00,-8.00,-10.00,-14.00,4.54,-10.16,-13.76,
6.00,4.00,0.0000,-0.0497,-0.0297,0.383727,0.000631,-10.00,8.00,-8.00,-10.00,-12.44,4.20,-5.84,-13.46,
7.00,4.00,0.0000,-0.0493,-0.0346,0.473166,0.000729,-10.00,8.00,-8.00,-10.00,-8.63,6.37,-4.05,-10.69,
8.00,4.00,0.0000,-0.0495,-0.0395,0.613066,0.003573,-10.00,8.00,-8.00,-10.00,-6.00,9.93,-7.03,-6.94,
9.00,4.00,0.0000,-0.0490,-0.0445,0.556596,0.023768,-10.00,8.00,-8.00,-10.00,-8.54,12.00,-11.18,-6.32,
10.00,4.00,0.0000,-0.0494,-0.0494,0.396158,0.014830,-10.00,8.00,-8.00,-10.00,-12.96,10.18,-11.49,-9.74,
11.00,4.00,0.0000,-0.0499,-0.0495,0.364900,0.003294,-10.00,8.00,-8.00,-10.00,-13.56,6.25,-7.56,-13.44,
12.00,4.00,0.0000,-0.0494,-0.0495,0.441733,0.001001,-10.00,8.00,-8.00,-10.00,-9.68,4.02,-4.02,-13.37,
13.00,4.00,0.0000,-0.0494,-0.0495,0.574969,0.000946,-10.00,8.00,-8.00,-10.00,-6.45,5.65,-6.82,-9.63,
14.00,4.00,0.0000,-0.0497,-0.0495,0.628156,0.004628,-10.00,8.00,-8.00,-10.00,-6.56,9.95,-11.50,-6.20,
15.00,4.00,0.0000,-0.0492,-0.0495,0.497608,0.020244,-10.00,8.00,-8.00,-10.00,-9.92,11.85,-10.61,-7.36,
16.00,4.00,0.0000,-0.0496,-0.0494,0.387570,0.008057,-10.00,8.00,-8.00,-10.00,-13.35,7.84,-5.51,-11.71,
17.00,4.00,0.0000,-0.0499,-0.0495,0.366058,0.001454,-10.00,8.00,-8.00,-10.00,-13.63,4.07,-4.55,-14.00,
18.00,4.00,0.0000,-0.0495,-0.0495,0.423114,0.000790,-10.00,8.00,-8.00,-10.00,-10.49,6.34,-9.50,-11.46,
19.00,4.00,0.0000,-0.0493,-0.0495,0.552461,0.003527,-10.00,8.00,-8.00,-10.00,-6.73,11.22,-11.88,-7.35,
20.00,4.00,0.0000,-0.0497,-0.0495,0.617305,0.025727,-10.00,8.00,-8.00,-10.00,-6.47,10.90,-7.72,-6.11,
21.00,4.00,0.0000,-0.0491,-0.0495,0.501292,0.010494,-10.00,8.00,-8.00,-10.00,-10.09,5.79,-4.23,-9.01,
22.00,4.00,0.0000,-0.0497,-0.0495,0.385010,0.001528,-10.00,8.00,-8.00,-10.00,-13.61,4.33,-5.29,-12.96,
23.00,4.00,0.0000,-0.0498,-0.0495,0.371325,0.001126,-10.00,8.00,-8.00,-10.00,-13.17,8.50,-9.63,-13.76,
24.00,4.00,0.0000,-0.0493,-0.0495,0.453605,0.002970,-10.00,8.00,-8.00,-10.00,-9.07,11.16,-12.00,-10.56,
