time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.647312,0.010170,-10.00,8.00,-8.00,-10.00,-6.50,11.23,-4.64,-6.11,
2.00,4.00,0.0000,-0.0495,-0.0098,0.623011,0.046905,-10.00,8.00,-8.00,-10.00,-6.61,11.82,-4.35,-8.20,
3.00,4.00,0.0000,-0.0491,-0.0148,0.485863,0.025004,-10.00,8.00,-8.00,-10.00,-10.21,9.29,-7.40,-13.05,
4.00,4.00,0.0000,-0.0497,-0.0197,0.381296,0.004089,-10.00,8.00,-8.00,-10.00,-13.60,5.71,-11.00,-13.22,
5.00,4.00,0.0000,-0.0498,-0.0247,0.369700,0.000948,-10.00,8.00,-8.00,-10.00,-13.27,4.00,-11.85,-9.04,
6.00,4.00,0.0000,-0.0495,-0.0296,0.444884,0.000663,-10.00,8.00,-8.00,-10.00,-9.68,5.56,-9.18,-6.47,
7.00,4.00,0.0000,-0.0494,-0.0346,0.564985,0.002122,-10.00,8.00,-8.00,-10.00,-6.68,9.28,-5.46,-6.24,
8.00,4.00,0.0000,-0.0498,-0.0395,0.632899,0.019643,-10.00,8.00,-8.00,-10.00,-6.18,11.97,-4.03,-8.50,
9.00,4.00,0.0000,-0.0492,-0.0445,0.545244,0.032854,-10.00,8.00,-8.00,-10.00,-8.56,10.17,-6.23,-11.75,
10.00,4.00,0.0000,-0.0495,-0.0494,0.424897,0.006523,-10.00,8.00,-8.00,-10.00,-12.02,5.91,-10.05,-13.84,
11.00,4.00,0.0000,-0.0499,-0.0495,0.368210,0.001177,-10.00,8.00,-8.00,-10.00,-13.96,4.02,-12.00,-13.40,
12.00,4.00,0.0000,-0.0498,-0.0495,0.375963,0.000727,-10.00,8.00,-8.00,-10.00,-12.92,6.64,-10.29,-10.70,
13.00,4.00,0.0000,-0.0495,-0.0496,0.446314,0.002020,-10.00,8.00,-8.00,-10.00,-9.72,10.93,-6.56,-7.42,
14.00,4.00,0.0000,-0.0494,-0.0496,0.559372,0.011431,-10.00,8.00,-8.00,-10.00,-6.76,11.59,-4.11,-6.00,
15.00,4.00,0.0000,-0.0499,-0.0496,0.629789,0.017251,-10.00,8.00,-8.00,-10.00,-6.12,7.61,-5.02,-7.59,
16.00,4.00,0.0000,-0.0494,-0.0496,0.567852,0.004178,-10.00,8.00,-8.00,-10.00,-8.25,4.14,-8.50,-10.99,
17.00,4.00,0.0000,-0.0495,-0.0495,0.442410,0.001403,-10.00,8.00,-8.00,-10.00,-11.63,5.65,-11.55,-13.65,
18.00,4.00,0.0000,-0.0498,-0.0496,0.372685,0.001729,-10.00,8.00,-8.00,-10.00,-13.85,9.76,-11.53,-13.56,
19.00,4.00,0.0000,-0.0499,-0.0496,0.369090,0.003317,-10.00,8.00,-8.00,-10.00,-13.32,11.96,-8.46,-10.78,
20.00,4.00,0.0000,-0.0496,-0.0496,0.426298,0.005527,-10.00,8.00,-8.00,-10.00,-10.42,10.74,-4.80,-7.11,
21.00,4.00,0.0000,-0.0493,-0.0496,0.548668,0.005463,-10.00,8.00,-8.00,-10.00,-6.84,7.16,-4.35,-6.16,
22.00,4.00,0.0000,-0.0500,-0.0496,0.631347,0.002813,-10.00,8.00,-8.00,-10.00,-6.30,4.30,-7.66,-9.05,
23.00,4.00,0.0000,-0.0492,-0.0496,0.529359,0.001388,-10.00,8.00,-8.00,-10.00,-9.46,4.64,-11.32,-12.89,
24.00,4.00,0.0000,-0.0496,-0.0496,0.398417,0.001355,-10.00,8.00,-8.00,-10.00,-13.16,7.88,-11.56,-13.84,
25.00,4.00,0.0000,-0.0499,-0.0496,0.365055,0.002204,-10.00,8.00,-8.00,-10.00,-13.70,10.91,-8.13,-10.95,
26.00,4.00,0.0000,-0.0495,-0.0496,0.420025,0.004850,-10.00,8.00,-8.00,-10.00,-10.54,11.98,-5.23,-7.28,
27.00,4.00,0.0000,-0.0493,-0.0496,0.543398,0.011041,-10.00,8.00,-8.00,-10.00,-6.94,10.35,-4.00,-6.05,
28.00,4.00,0.0000,-0.0499,-0.0496,0.628876,0.011674,-10.00,8.00,-8.00,-10.00,-6.20,7.12,-5.17,-8.33,
29.00,4.00,0.0000,-0.0492,-0.0495,0.542528,0.003720,-10.00,8.00,-8.00,-10.00,-9.04,4.49,-8.03,-12.09,
30.00,4.00,0.0000,-0.0495,-0.0495,0.409542,0.001074,-10.00,8.00,-8.00,-10.00,-12.79,4.24,-10.88,-14.00,
31.00,4.00,0.0000,-0.0500,-0.0495,0.364494,0.000750,-10.00,8.00,-8.00,-10.00,-13.91,6.54,-12.00,-12.35,
32.00,4.00,0.0000,-0.0496,-0.0496,0.403267,0.001472,-10.00,8.00,-8.00,-10.00,-11.35,10.28,-10.72,-8.33,
33.00,4.00,0.0000,-0.0492,-0.0496,0.519122,0.007061,-10.00,8.00,-8.00,-10.00,-7.37,11.96,-7.69,-6.02,
34.00,4.00,0.0000,-0.0499,-0.0496,0.623936,0.020268,-10.00,8.00,-8.00,-10.00,-6.12,9.30,-4.01,-9.02,
35.00,4.00,0.0000,-0.0491,-0.0495,0.539422,0.007219,-10.00,8.00,-8.00,-10.00,-9.13,5.21,-8.31,-13.33,
36.00,4.00,0.0000,-0.0495,-0.0495,0.401556,0.001385,-10.00,8.00,-8.00,-10.00,-13.09,4.18,-11.99,-13.19,
37.00,4.00,0.0000,-0.0499,-0.0495,0.365975,0.000886,-10.00,8.00,-8.00,-10.00,-13.66,7.34,-7.85,-8.88,
38.00,4.00,0.0000,-0.0494,-0.0496,0.427703,0.002041,-10.00,8.00,-8.00,-10.00,-10.22,10.68,-4.66,-6.02,
39.00,4.00,0.0000,-0.0492,-0.0495,0.585746,0.011658,-10.00,8.00,-8.00,-10.00,-6.08,12.00,-4.27,-8.13,
40.00,4.00,0.0000,-0.0489,-0.0495,0.552993,0.029448,-10.00,8.00,-8.00,-10.00,-8.79,10.46,-7.02,-12.58,
41.00,4.00,0.0000,-0.0495,-0.0495,0.384872,0.007083,-10.00,8.00,-8.00,-10.00,-13.66,7.17,-10.59,-13.80,
42.00,4.00,0.0000,-0.0496,-0.0494,0.385655,0.001459,-10.00,8.00,-8.00,-10.00,-12.01,4.47,-11.99,-10.28,
43.00,4.00,0.0000,-0.0494,-0.0494,0.505128,0.000756,-10.00,8.00,-8.00,-10.00,-7.94,4.29,-10.03,-6.54,
44.00,4.00,0.0000,-0.0496,-0.0495,0.614874,0.001400,-10.00,8.00,-8.00,-10.00,-6.06,6.76,-6.26,-6.69,
45.00,4.00,0.0000,-0.0496,-0.0495,0.620085,0.007871,-10.00,8.00,-8.00,-10.00,-6.92,10.49,-4.01,-10.58,
46.00,4.00,0.0000,-0.0493,-0.0495,0.497186,0.022082,-10.00,8.00,-8.00,-10.00,-9.93,11.95,-5.75,-13.82,
47.00,4.00,0.0000,-0.0496,-0.0494,0.393175,0.010233,-10.00,8.00,-8.00,-10.00,-12.99,9.34,-9.74,-12.73,
48.00,4.00,0.0000,-0.0500,-0.0495,0.362257,0.002348,-10.00,8.00,-8.00,-10.00,-13.96,5.35,-11.99,-8.76,
49.00,4.00,0.0000,-0.0497,-0.0495,0.388916,0.000755,-10.00,8.00,-8.00,-10.00,-12.18,4.09,-10.25,-6.15,
50.00,4.00,0.0000,-0.0494,-0.0495,0.475666,0.000828,-10.00,8.00,-8.00,-10.00,-8.64,6.87,-5.55,-6.96,
51.00,4.00,0.0000,-0.0495,-0.0496,0.607778,0.004460,-10.00,8.00,-8.00,-10.00,-6.04,10.24,-4.84,-10.47,
52.00,4.00,0.0000,-0.0492,-0.0495,0.585592,0.026111,-10.00,8.00,-8.00,-10.00,-7.65,11.96,-10.45,-13.56,
53.00,4.00,0.0000,-0.0493,-0.0495,0.427968,0.019961,-10.00,8.00,-8.00,-10.00,-11.76,11.12,-11.16,-13.49,
54.00,4.00,0.0000,-0.0499,-0.0495,0.365010,0.005756,-10.00,8.00,-8.00,-10.00,-14.00,8.26,-6.10,-10.31,
55.00,4.00,0.0000,-0.0496,-0.0495,0.390130,0.001713,-10.00,8.00,-8.00,-10.00,-11.99,5.24,-4.04,-7.32,
