time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0494,-0.0049,0.629526,0.011254,-10.00,8.00,-8.00,-10.00,-6.84,11.67,-4.17,-6.33,
2.00,4.00,0.0000,-0.0498,-0.0098,0.627097,0.042352,-10.00,8.00,-8.00,-10.00,-6.12,10.91,-5.82,-7.09,
3.00,4.00,0.0000,-0.0493,-0.0148,0.547736,0.016229,-10.00,8.00,-8.00,-10.00,-8.41,6.63,-10.59,-11.37,
4.00,4.00,0.0000,-0.0495,-0.0197,0.431717,0.002302,-10.00,8.00,-8.00,-10.00,-11.92,4.01,-11.66,-13.99,
5.00,4.00,0.0000,-0.0499,-0.0247,0.369469,0.000915,-10.00,8.00,-8.00,-10.00,-13.95,6.20,-7.63,-11.80,
6.00,4.00,0.0000,-0.0498,-0.0297,0.375881,0.001494,-10.00,8.00,-8.00,-10.00,-12.92,10.39,-4.39,-7.61,
7.00,4.00,0.0000,-0.0495,-0.0346,0.446964,0.004865,-10.00,8.00,-8.00,-10.00,-9.64,11.95,-4.66,-6.05,
8.00,4.00,0.0000,-0.0494,-0.0396,0.571012,0.011249,-10.00,8.00,-8.00,-10.00,-6.43,9.32,-8.16,-8.68,
9.00,4.00,0.0000,-0.0498,-0.0445,0.621756,0.006565,-10.00,8.00,-8.00,-10.00,-6.58,5.28,-11.51,-12.72,
10.00,4.00,0.0000,-0.0492,-0.0494,0.507180,0.001809,-10.00,8.00,-8.00,-10.00,-9.96,4.13,-11.45,-13.87,
11.00,4.00,0.0000,-0.0496,-0.0496,0.391088,0.001145,-10.00,8.00,-8.00,-10.00,-13.37,7.10,-8.04,-10.90,
12.00,4.00,0.0000,-0.0499,-0.0496,0.366395,0.001806,-10.00,8.00,-8.00,-10.00,-13.61,10.43,-4.16,-7.19,
13.00,4.00,0.0000,-0.0495,-0.0496,0.423327,0.004410,-10.00,8.00,-8.00,-10.00,-10.44,11.99,-5.91,-6.08,
14.00,4.00,0.0000,-0.0493,-0.0496,0.548360,0.012140,-10.00,8.00,-8.00,-10.00,-6.70,10.90,-10.75,-8.56,
15.00,4.00,0.0000,-0.0498,-0.0496,0.613941,0.014862,-10.00,8.00,-8.00,-10.00,-6.49,7.90,-11.52,-12.35,
16.00,4.00,0.0000,-0.0492,-0.0495,0.501422,0.004452,-10.00,8.00,-8.00,-10.00,-10.13,4.96,-7.33,-13.99,
17.00,4.00,0.0000,-0.0497,-0.0495,0.384591,0.001076,-10.00,8.00,-8.00,-10.00,-13.63,4.03,-4.32,-11.98,
18.00,4.00,0.0000,-0.0498,-0.0496,0.372034,0.000643,-10.00,8.00,-8.00,-10.00,-13.14,5.73,-4.68,-8.11,
19.00,4.00,0.0000,-0.0495,-0.0496,0.452811,0.001265,-10.00,8.00,-8.00,-10.00,-9.44,9.05,-8.08,-6.00,
20.00,4.00,0.0000,-0.0494,-0.0496,0.563105,0.007721,-10.00,8.00,-8.00,-10.00,-6.71,11.79,-11.40,-7.89,
21.00,4.00,0.0000,-0.0499,-0.0496,0.612546,0.031448,-10.00,8.00,-8.00,-10.00,-6.10,11.17,-11.61,-11.89,
22.00,4.00,0.0000,-0.0494,-0.0496,0.558846,0.018091,-10.00,8.00,-8.00,-10.00,-8.01,7.73,-8.52,-14.00,
