time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.649249,0.011460,-10.00,8.00,-8.00,-10.00,-6.47,11.53,-4.33,-6.26,
2.00,4.00,0.0000,-0.0495,-0.0098,0.619092,0.047376,-10.00,8.00,-8.00,-10.00,-6.69,11.31,-5.09,-7.35,
3.00,4.00,0.0000,-0.0491,-0.0148,0.478929,0.016967,-10.00,8.00,-8.00,-10.00,-10.43,7.57,-9.37,-11.86,
4.00,4.00,0.0000,-0.0497,-0.0197,0.378842,0.002285,-10.00,8.00,-8.00,-10.00,-13.72,4.28,-11.99,-13.97,
5.00,4.00,0.0000,-0.0498,-0.0247,0.372978,0.000743,-10.00,8.00,-8.00,-10.00,-13.05,4.95,-9.80,-10.96,
6.00,4.00,0.0000,-0.0494,-0.0296,0.456050,0.001205,-10.00,8.00,-8.00,-10.00,-9.29,9.01,-5.11,-7.46,
7.00,4.00,0.0000,-0.0494,-0.0346,0.579487,0.009178,-10.00,8.00,-8.00,-10.00,-6.41,12.00,-4.70,-6.00,
8.00,4.00,0.0000,-0.0497,-0.0395,0.616980,0.024963,-10.00,8.00,-8.00,-10.00,-6.46,8.85,-9.54,-7.40,
9.00,4.00,0.0000,-0.0493,-0.0445,0.518773,0.005393,-10.00,8.00,-8.00,-10.00,-9.40,4.39,-11.93,-10.66,
10.00,4.00,0.0000,-0.0496,-0.0494,0.405684,0.001316,-10.00,8.00,-8.00,-10.00,-12.84,5.48,-8.05,-13.45,
11.00,4.00,0.0000,-0.0500,-0.0495,0.364359,0.001508,-10.00,8.00,-8.00,-10.00,-13.95,9.63,-5.19,-13.77,
12.00,4.00,0.0000,-0.0497,-0.0495,0.394522,0.003278,-10.00,8.00,-8.00,-10.00,-11.84,11.85,-4.00,-11.40,
13.00,4.00,0.0000,-0.0492,-0.0496,0.498111,0.008433,-10.00,8.00,-8.00,-10.00,-7.84,11.32,-5.21,-7.15,
14.00,4.00,0.0000,-0.0498,-0.0496,0.617527,0.014337,-10.00,8.00,-8.00,-10.00,-6.07,8.42,-8.10,-6.67,
15.00,4.00,0.0000,-0.0491,-0.0495,0.538176,0.005756,-10.00,8.00,-8.00,-10.00,-9.20,5.22,-10.92,-11.49,
16.00,4.00,0.0000,-0.0496,-0.0495,0.395604,0.001282,-10.00,8.00,-8.00,-10.00,-13.33,4.01,-12.00,-13.94,
17.00,4.00,0.0000,-0.0498,-0.0496,0.369598,0.000675,-10.00,8.00,-8.00,-10.00,-13.30,5.65,-10.67,-10.11,
18.00,4.00,0.0000,-0.0494,-0.0495,0.453018,0.001294,-10.00,8.00,-8.00,-10.00,-9.29,9.44,-7.76,-6.67,
19.00,4.00,0.0000,-0.0493,-0.0495,0.586710,0.010299,-10.00,8.00,-8.00,-10.00,-6.24,11.95,-4.82,-6.36,
20.00,4.00,0.0000,-0.0495,-0.0496,0.613547,0.021883,-10.00,8.00,-8.00,-10.00,-6.94,8.16,-4.09,-9.47,
21.00,4.00,0.0000,-0.0492,-0.0495,0.480018,0.003901,-10.00,8.00,-8.00,-10.00,-10.71,4.12,-6.09,-13.09,
22.00,4.00,0.0000,-0.0497,-0.0495,0.378558,0.001159,-10.00,8.00,-8.00,-10.00,-13.76,6.26,-9.41,-13.79,
23.00,4.00,0.0000,-0.0498,-0.0495,0.372663,0.001642,-10.00,8.00,-8.00,-10.00,-13.06,10.21,-11.76,-10.92,
24.00,4.00,0.0000,-0.0493,-0.0495,0.452540,0.004776,-10.00,8.00,-8.00,-10.00,-9.15,11.98,-11.49,-7.42,
25.00,4.00,0.0000,-0.0495,-0.0495,0.598067,0.017467,-10.00,8.00,-8.00,-10.00,-6.00,10.83,-8.79,-6.01,
26.00,4.00,0.0000,-0.0490,-0.0495,0.546497,0.015642,-10.00,8.00,-8.00,-10.00,-8.99,7.61,-5.65,-7.77,
27.00,4.00,0.0000,-0.0495,-0.0495,0.391989,0.002811,-10.00,8.00,-8.00,-10.00,-13.53,4.67,-4.03,-11.31,
28.00,4.00,0.0000,-0.0497,-0.0495,0.377990,0.000777,-10.00,8.00,-8.00,-10.00,-12.64,4.17,-4.97,-13.80,
29.00,4.00,0.0000,-0.0493,-0.0495,0.487616,0.000815,-10.00,8.00,-8.00,-10.00,-8.29,6.48,-7.87,-13.28,
30.00,4.00,0.0000,-0.0495,-0.0495,0.610112,0.004056,-10.00,8.00,-8.00,-10.00,-6.04,10.15,-10.85,-10.15,
31.00,4.00,0.0000,-0.0492,-0.0495,0.590893,0.027741,-10.00,8.00,-8.00,-10.00,-7.31,12.00,-12.00,-6.99,
