time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.674199,0.010349,-10.00,8.00,-8.00,-10.00,-6.11,10.97,-4.20,-6.71,
2.00,4.00,0.0000,-0.0490,-0.0098,0.577077,0.045050,-10.00,8.00,-8.00,-10.00,-8.20,11.98,-5.65,-6.26,
3.00,4.00,0.0000,-0.0493,-0.0147,0.395702,0.019017,-10.00,8.00,-8.00,-10.00,-13.05,10.35,-10.35,-9.04,
4.00,4.00,0.0000,-0.0498,-0.0197,0.366822,0.004120,-10.00,8.00,-8.00,-10.00,-13.22,7.17,-11.80,-12.65,
5.00,4.00,0.0000,-0.0493,-0.0246,0.466842,0.001402,-10.00,8.00,-8.00,-10.00,-8.78,4.54,-8.00,-13.97,
6.00,4.00,0.0000,-0.0495,-0.0296,0.603618,0.000949,-10.00,8.00,-8.00,-10.00,-6.08,4.20,-4.66,-11.86,
7.00,4.00,0.0000,-0.0495,-0.0345,0.607040,0.001608,-10.00,8.00,-8.00,-10.00,-7.41,6.37,-4.34,-7.37,
8.00,4.00,0.0000,-0.0493,-0.0395,0.456755,0.003580,-10.00,8.00,-8.00,-10.00,-11.42,9.58,-7.36,-6.71,
9.00,4.00,0.0000,-0.0498,-0.0444,0.368640,0.004980,-10.00,8.00,-8.00,-10.00,-13.96,11.77,-10.97,-11.91,
10.00,4.00,0.0000,-0.0497,-0.0494,0.379615,0.005491,-10.00,8.00,-8.00,-10.00,-12.42,11.53,-11.86,-13.70,
11.00,4.00,0.0000,-0.0493,-0.0495,0.477064,0.005728,-10.00,8.00,-8.00,-10.00,-8.47,9.01,-9.22,-9.08,
12.00,4.00,0.0000,-0.0495,-0.0495,0.606943,0.004485,-10.00,8.00,-8.00,-10.00,-6.04,5.84,-5.87,-6.01,
13.00,4.00,0.0000,-0.0495,-0.0495,0.604566,0.002137,-10.00,8.00,-8.00,-10.00,-7.45,4.06,-4.07,-8.64,
14.00,4.00,0.0000,-0.0493,-0.0495,0.459309,0.001093,-10.00,8.00,-8.00,-10.00,-11.33,4.82,-4.80,-13.22,
15.00,4.00,0.0000,-0.0498,-0.0495,0.372445,0.001035,-10.00,8.00,-8.00,-10.00,-13.92,7.64,-7.60,-13.19,
16.00,4.00,0.0000,-0.0498,-0.0496,0.378026,0.002003,-10.00,8.00,-8.00,-10.00,-12.70,11.15,-10.66,-8.72,
17.00,4.00,0.0000,-0.0493,-0.0496,0.465791,0.006057,-10.00,8.00,-8.00,-10.00,-8.72,11.74,-12.00,-6.00,
18.00,4.00,0.0000,-0.0496,-0.0496,0.601434,0.012378,-10.00,8.00,-8.00,-10.00,-6.00,8.70,-10.76,-8.45,
19.00,4.00,0.0000,-0.0492,-0.0496,0.567370,0.005539,-10.00,8.00,-8.00,-10.00,-8.45,4.98,-7.76,-12.90,
20.00,4.00,0.0000,-0.0494,-0.0495,0.411479,0.001310,-10.00,8.00,-8.00,-10.00,-12.90,4.20,-4.85,-13.61,
21.00,4.00,0.0000,-0.0499,-0.0495,0.366891,0.000853,-10.00,8.00,-8.00,-10.00,-13.61,7.10,-4.07,-9.78,
22.00,4.00,0.0000,-0.0494,-0.0496,0.439188,0.002128,-10.00,8.00,-8.00,-10.00,-9.77,11.00,-5.96,-6.68,
23.00,4.00,0.0000,-0.0493,-0.0495,0.563021,0.011809,-10.00,8.00,-8.00,-10.00,-6.58,11.71,-9.24,-6.22,
24.00,4.00,0.0000,-0.0498,-0.0496,0.614414,0.020212,-10.00,8.00,-8.00,-10.00,-6.35,8.35,-11.67,-8.76,
25.00,4.00,0.0000,-0.0493,-0.0495,0.525780,0.005057,-10.00,8.00,-8.00,-10.00,-9.27,4.60,-11.62,-12.29,
26.00,4.00,0.0000,-0.0496,-0.0495,0.406875,0.001203,-10.00,8.00,-8.00,-10.00,-12.82,4.58,-9.11,-14.00,
27.00,4.00,0.0000,-0.0500,-0.0495,0.364542,0.001027,-10.00,8.00,-8.00,-10.00,-13.94,8.22,-4.56,-12.53,
28.00,4.00,0.0000,-0.0496,-0.0496,0.398012,0.002315,-10.00,8.00,-8.00,-10.00,-11.65,11.29,-5.96,-8.96,
29.00,4.00,0.0000,-0.0492,-0.0496,0.504576,0.008101,-10.00,8.00,-8.00,-10.00,-7.65,11.82,-11.44,-6.14,
30.00,4.00,0.0000,-0.0498,-0.0496,0.612028,0.018934,-10.00,8.00,-8.00,-10.00,-6.08,9.39,-10.04,-7.17,
31.00,4.00,0.0000,-0.0492,-0.0496,0.540507,0.008428,-10.00,8.00,-8.00,-10.00,-9.09,5.89,-5.33,-11.04,
32.00,4.00,0.0000,-0.0495,-0.0495,0.400681,0.001621,-10.00,8.00,-8.00,-10.00,-13.17,4.02,-4.16,-13.86,
33.00,4.00,0.0000,-0.0499,-0.0496,0.367309,0.000690,-10.00,8.00,-8.00,-10.00,-13.54,5.23,-7.33,-12.83,
34.00,4.00,0.0000,-0.0494,-0.0496,0.437880,0.001096,-10.00,8.00,-8.00,-10.00,-9.87,8.93,-11.26,-9.16,
35.00,4.00,0.0000,-0.0494,-0.0496,0.548248,0.007622,-10.00,8.00,-8.00,-10.00,-6.97,11.89,-11.50,-6.44,
36.00,4.00,0.0000,-0.0498,-0.0496,0.623270,0.013964,-10.00,8.00,-8.00,-10.00,-6.03,7.07,-7.86,-6.33,
37.00,4.00,0.0000,-0.0495,-0.0496,0.591328,0.003221,-10.00,8.00,-8.00,-10.00,-7.65,4.11,-4.91,-8.92,
38.00,4.00,0.0000,-0.0494,-0.0495,0.470312,0.002574,-10.00,8.00,-8.00,-10.00,-10.79,8.66,-4.05,-12.29,
39.00,4.00,0.0000,-0.0497,-0.0495,0.385215,0.004795,-10.00,8.00,-8.00,-10.00,-13.42,11.90,-5.87,-13.99,
40.00,4.00,0.0000,-0.0500,-0.0496,0.362223,0.004832,-10.00,8.00,-8.00,-10.00,-13.84,10.27,-9.14,-12.76,
41.00,4.00,0.0000,-0.0497,-0.0496,0.395870,0.002174,-10.00,8.00,-8.00,-10.00,-11.79,5.80,-11.63,-9.53,
42.00,4.00,0.0000,-0.0491,-0.0496,0.500323,0.000916,-10.00,8.00,-8.00,-10.00,-7.65,4.08,-11.66,-6.60,
43.00,4.00,0.0000,-0.0499,-0.0496,0.622371,0.001626,-10.00,8.00,-8.00,-10.00,-6.53,7.25,-9.20,-6.23,
44.00,4.00,0.0000,-0.0490,-0.0495,0.463949,0.007028,-10.00,8.00,-8.00,-10.00,-11.59,11.50,-5.02,-8.70,
45.00,4.00,0.0000,-0.0500,-0.0495,0.365668,0.007007,-10.00,8.00,-8.00,-10.00,-13.82,10.86,-4.72,-12.14,
46.00,4.00,0.0000,-0.0493,-0.0496,0.441533,0.003032,-10.00,8.00,-8.00,-10.00,-9.56,6.13,-9.46,-13.98,
47.00,4.00,0.0000,-0.0494,-0.0495,0.570026,0.001270,-10.00,8.00,-8.00,-10.00,-6.56,4.08,-11.96,-12.82,
48.00,4.00,0.0000,-0.0499,-0.0495,0.634503,0.002182,-10.00,8.00,-8.00,-10.00,-6.30,7.64,-8.37,-9.40,
49.00,4.00,0.0000,-0.0492,-0.0495,0.541879,0.011495,-10.00,8.00,-8.00,-10.00,-8.98,11.55,-4.38,-6.05,
50.00,4.00,0.0000,-0.0495,-0.0495,0.413537,0.014238,-10.00,8.00,-8.00,-10.00,-12.47,11.05,-5.20,-8.16,
51.00,4.00,0.0000,-0.0499,-0.0495,0.363344,0.004068,-10.00,8.00,-8.00,-10.00,-14.00,6.74,-9.76,-12.81,
52.00,4.00,0.0000,-0.0497,-0.0495,0.384776,0.001022,-10.00,8.00,-8.00,-10.00,-12.35,4.01,-11.97,-13.58,
53.00,4.00,0.0000,-0.0494,-0.0495,0.470418,0.000791,-10.00,8.00,-8.00,-10.00,-8.92,6.26,-8.88,-9.33,
54.00,4.00,0.0000,-0.0494,-0.0495,0.588090,0.003642,-10.00,8.00,-8.00,-10.00,-6.33,10.14,-4.72,-6.03,
55.00,4.00,0.0000,-0.0496,-0.0496,0.628057,0.027237,-10.00,8.00,-8.00,-10.00,-6.44,11.99,-4.64,-10.37,
56.00,4.00,0.0000,-0.0492,-0.0495,0.515114,0.031472,-10.00,8.00,-8.00,-10.00,-9.16,10.67,-8.75,-13.99,
57.00,4.00,0.0000,-0.0496,-0.0495,0.407476,0.007634,-10.00,8.00,-8.00,-10.00,-12.49,7.23,-11.92,-10.00,
58.00,4.00,0.0000,-0.0499,-0.0495,0.364831,0.001539,-10.00,8.00,-8.00,-10.00,-14.00,4.40,-10.20,-6.90,
59.00,4.00,0.0000,-0.0498,-0.0496,0.381889,0.000626,-10.00,8.00,-8.00,-10.00,-12.57,4.44,-5.84,-6.08,
60.00,4.00,0.0000,-0.0494,-0.0496,0.460474,0.000848,-10.00,8.00,-8.00,-10.00,-9.17,7.30,-4.04,-8.13,
61.00,4.00,0.0000,-0.0494,-0.0496,0.591702,0.004470,-10.00,8.00,-8.00,-10.00,-6.20,10.51,-6.87,-11.55,
62.00,4.00,0.0000,-0.0493,-0.0495,0.602476,0.027778,-10.00,8.00,-8.00,-10.00,-7.03,12.00,-11.02,-13.84,
63.00,4.00,0.0000,-0.0492,-0.0495,0.454843,0.022869,-10.00,8.00,-8.00,-10.00,-10.83,10.77,-11.64,-13.31,
64.00,4.00,0.0000,-0.0498,-0.0495,0.373020,0.005840,-10.00,8.00,-8.00,-10.00,-13.80,7.66,-8.00,-10.35,
65.00,4.00,0.0000,-0.0498,-0.0495,0.374104,0.001488,-10.00,8.00,-8.00,-10.00,-12.97,4.78,-4.42,-7.13,
66.00,4.00,0.0000,-0.0495,-0.0496,0.455619,0.000695,-10.00,8.00,-8.00,-10.00,-9.40,4.09,-4.84,-6.03,
67.00,4.00,0.0000,-0.0495,-0.0496,0.565584,0.000944,-10.00,8.00,-8.00,-10.00,-6.75,6.05,-8.85,-7.92,
68.00,4.00,0.0000,-0.0499,-0.0496,0.635014,0.004527,-10.00,8.00,-8.00,-10.00,-6.06,9.69,-11.89,-11.37,
