seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
9,2,16,0.00778563391300271,9999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.042673209774499656,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
1,2,16,0.7082680767457457,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
2,2,16,0.7068743571215652,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
3,2,16,0.014982894921071629,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
4,2,16,2.0714613665606884e-05,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
5,2,16,0.010552652609089169,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
6,2,16,0.7107555244199509,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
7,2,16,0.70534629979887,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
8,2,16,0.7046957117671783,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
9,2,16,0.02020991244236453,9999.99,8,1,8,16,0.025,1.0,0.005,0.001,
0,2,16,0.6300484692386591,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
1,2,16,0.6660506569654095,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
2,2,16,0.6721985614901572,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
3,2,16,0.011752160158344583,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
4,2,16,2.2516224183647543e-05,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
5,2,16,0.002909705500451741,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
6,2,16,0.6455009330494066,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
7,2,16,0.6367928314484954,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
8,2,16,0.660219847458054,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
9,2,16,0.015464050895359927,9999.99,16,1,8,16,0.025,1.0,0.005,0.001,
