,step,best_fitness,current_fitness
0,0,0.11275343954390833,0.11275343954390833
1,1,0.11324010127717428,0.11324010127717428
2,2,0.11372384548995455,0.11372384548995455
3,3,0.11372384548995455,0.11356956587308516
4,4,0.11372384548995455,0.09095936990670664
5,5,0.11372384548995455,0.11311762792690624
6,6,0.11372384548995455,0.11271106257705274
7,7,0.11954525487572272,0.11954525487572272
8,8,0.11954525487572272,0.11417134913235275
9,9,0.1302235657720639,0.1302235657720639
10,10,0.1302235657720639,0.1133041972068795
11,11,0.13386224158317964,0.13386224158317964
12,12,0.13386224158317964,0.12885850700040133
13,13,0.13921761758906903,0.13921761758906903
14,14,0.13921761758906903,0.10662359132468664
15,15,0.13921761758906903,0.13562753987930282
16,16,0.13921761758906903,0.13679652936776865
17,17,0.13921761758906903,0.13400398680271902
18,18,0.13921761758906903,0.12594851838228008
19,19,0.13921761758906903,0.13490640895003772
20,20,0.13921761758906903,0.13036383064780938
21,21,0.13921761758906903,0.13784137668469434
22,22,0.13921761758906903,0.12362285478912241
23,23,0.14123988823966,0.14123988823966
24,24,0.14123988823966,0.11857455818872087
25,25,0.14124410840391052,0.14124410840391052
26,26,0.14124410840391052,0.08719459859120152
27,27,0.14124410840391052,0.08357411846943792
28,28,0.14124410840391052,0.09801260434985794
29,29,0.14124410840391052,0.11515976626311704
30,30,0.14141307600531233,0.14141307600531233
31,31,0.14141307600531233,0.1325296085721498
32,32,0.14141307600531233,0.1243407933240259
33,33,0.14141307600531233,0.09778342806030503
34,34,0.14141307600531233,0.1280074283761904
35,35,0.14141307600531233,0.13052198608844873
36,36,0.14141307600531233,0.12001070572531276
37,37,0.14141307600531233,0.11480928885373218
38,38,0.14141307600531233,0.13062509857418644
39,39,0.14141307600531233,0.11883895417834647
40,40,0.14141307600531233,0.1184820606919216
41,41,0.14141307600531233,0.09496249673202575
42,42,0.14141307600531233,0.12867590465127915
43,43,0.14141307600531233,0.12011513797971643
44,44,0.14141307600531233,0.11762164462209883
45,45,0.14141307600531233,0.09489231713364112
46,46,0.14141307600531233,0.12340512280651898
47,47,0.14141307600531233,0.13595336688538467
48,48,0.14141307600531233,0.13750142345031485
49,49,0.14141307600531233,0.08631020014704102
50,50,0.14141307600531233,0.11907167634494573
51,51,0.14141307600531233,0.1020876358859619
52,52,0.14141307600531233,0.09997608779130245
53,53,0.14141307600531233,0.13261238326497615
54,54,0.14141307600531233,0.08737162776922791
55,55,0.14141307600531233,0.10517992111777988
56,56,0.14141307600531233,0.12482919686632159
57,57,0.14141307600531233,0.1228788510947351
58,58,0.14141307600531233,0.12816920461086903
59,59,0.14141307600531233,0.13720185216419106
60,60,0.14141307600531233,0.09957240053804874
61,61,0.14141307600531233,0.12881640889935628
62,62,0.14141307600531233,0.0987676046486822
63,63,0.14141307600531233,0.12262789475066135
64,64,0.14141307600531233,0.12298744443354179
65,65,0.14141307600531233,0.09469540799459755
66,66,0.14141307600531233,0.12103470917504751
67,67,0.14663607072140458,0.14663607072140458
68,68,0.14663607072140458,0.1284359158904438
69,69,0.14663607072140458,0.11064688563140082
70,70,0.14663607072140458,0.10195329057833691
71,71,0.14663607072140458,0.12339064633481138
72,72,0.14663607072140458,0.10768489285525171
73,73,0.14663607072140458,0.12286991722193549
74,74,0.14663607072140458,0.12874424188181116
75,75,0.14682080979104312,0.14682080979104312
76,76,0.14682080979104312,0.1351813150336662
77,77,0.15416447737422329,0.15416447737422329
78,78,0.15416447737422329,0.13327529480242423
79,79,0.15810545143709917,0.15810545143709917
80,80,0.15810545143709917,0.10219665631223777
81,81,0.15810545143709917,0.1287121343043561
82,82,0.15810545143709917,0.1195757667692177
83,83,0.15810545143709917,0.12127548471444269
84,84,0.15810545143709917,0.14745850714756167
85,85,0.15810545143709917,0.13870131264036795
86,86,0.15810545143709917,0.15187890534576384
87,87,0.15810545143709917,0.11037076683308411
88,88,0.15810545143709917,0.14964729173755847
89,89,0.15810545143709917,0.12211822976469085
90,90,0.1585849647793412,0.1585849647793412
91,91,0.1585849647793412,0.15332580649424174
92,92,0.16994387034024652,0.16994387034024652
93,93,0.16994387034024652,0.1349614301292698
94,94,0.16994387034024652,0.1540756194289084
95,95,0.17072390705361204,0.17072390705361204
96,96,0.17072390705361204,0.1169254897849104
97,97,0.17072390705361204,0.15456958809327945
98,98,0.17072390705361204,0.1523746647038649
99,99,0.17072390705361204,0.11414598709365194
100,100,0.17072390705361204,0.1433951375916929
101,101,0.17072390705361204,0.15444139904083604
102,102,0.17072390705361204,0.12922273283560473
103,103,0.17072390705361204,0.13633439705869357
104,104,0.17072390705361204,0.11204875965759035
105,105,0.17072390705361204,0.10120119571641728
106,106,0.17072390705361204,0.13764109950994513
107,107,0.17072390705361204,0.11296088245085238
108,108,0.17072390705361204,0.1374534157799413
109,109,0.17072390705361204,0.1487267691264626
110,110,0.17072390705361204,0.10243157665059947
111,111,0.17072390705361204,0.1666256715920772
112,112,0.17072390705361204,0.12730163954917842
113,113,0.17072390705361204,0.1037438476763863
114,114,0.17072390705361204,0.09305410649420238
115,115,0.17072390705361204,0.10141555073816115
116,116,0.17072390705361204,0.11906350879775134
117,117,0.17072390705361204,0.08788332144235592
118,118,0.17072390705361204,0.1526727364901665
119,119,0.17072390705361204,0.11503849629317782
120,120,0.17072390705361204,0.12007011862739832
121,121,0.17072390705361204,0.13976335010765004
122,122,0.17072390705361204,0.0948029530734223
123,123,0.17072390705361204,0.11005818105493097
124,124,0.17072390705361204,0.16968437027616157
125,125,0.17072390705361204,0.10522903355761395
