time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0494,-0.0049,0.623273,0.011334,-10.00,8.00,-8.00,-10.00,-6.97,11.74,-4.43,-6.20,
2.00,4.00,0.0000,-0.0500,-0.0098,0.628406,0.039669,-10.00,8.00,-8.00,-10.00,-6.05,10.65,-4.78,-7.65,
3.00,4.00,0.0000,-0.0493,-0.0148,0.572294,0.014533,-10.00,8.00,-8.00,-10.00,-7.88,6.14,-8.66,-12.35,
4.00,4.00,0.0000,-0.0494,-0.0197,0.455075,0.002200,-10.00,8.00,-8.00,-10.00,-11.19,4.03,-11.82,-13.80,
5.00,4.00,0.0000,-0.0498,-0.0247,0.378612,0.001077,-10.00,8.00,-8.00,-10.00,-13.67,7.04,-10.79,-10.00,
6.00,4.00,0.0000,-0.0499,-0.0297,0.366236,0.002035,-10.00,8.00,-8.00,-10.00,-13.60,11.53,-6.91,-6.18,
7.00,4.00,0.0000,-0.0496,-0.0347,0.412674,0.004393,-10.00,8.00,-8.00,-10.00,-11.02,10.57,-4.23,-7.78,
8.00,4.00,0.0000,-0.0493,-0.0396,0.521252,0.003162,-10.00,8.00,-8.00,-10.00,-7.46,5.52,-4.72,-12.55,
9.00,4.00,0.0000,-0.0498,-0.0445,0.628303,0.001515,-10.00,8.00,-8.00,-10.00,-6.03,4.42,-7.96,-13.68,
10.00,4.00,0.0000,-0.0493,-0.0495,0.574905,0.003330,-10.00,8.00,-8.00,-10.00,-8.23,9.02,-11.24,-9.68,
11.00,4.00,0.0000,-0.0494,-0.0496,0.427568,0.009642,-10.00,8.00,-8.00,-10.00,-12.05,11.97,-11.79,-6.45,
12.00,4.00,0.0000,-0.0499,-0.0496,0.363940,0.005303,-10.00,8.00,-8.00,-10.00,-14.00,8.11,-9.16,-6.56,
13.00,4.00,0.0000,-0.0497,-0.0496,0.385472,0.001280,-10.00,8.00,-8.00,-10.00,-12.29,4.06,-5.62,-9.92,
14.00,4.00,0.0000,-0.0495,-0.0496,0.476057,0.000913,-10.00,8.00,-8.00,-10.00,-8.81,6.76,-4.00,-13.35,
15.00,4.00,0.0000,-0.0495,-0.0496,0.584513,0.004539,-10.00,8.00,-8.00,-10.00,-6.44,10.55,-5.65,-13.63,
16.00,4.00,0.0000,-0.0496,-0.0496,0.624900,0.029357,-10.00,8.00,-8.00,-10.00,-6.21,12.00,-9.22,-10.49,
17.00,4.00,0.0000,-0.0493,-0.0495,0.533028,0.035379,-10.00,8.00,-8.00,-10.00,-8.25,10.44,-11.79,-6.88,
18.00,4.00,0.0000,-0.0495,-0.0495,0.438188,0.009165,-10.00,8.00,-8.00,-10.00,-11.34,7.04,-11.27,-6.25,
19.00,4.00,0.0000,-0.0498,-0.0496,0.378057,0.001735,-10.00,8.00,-8.00,-10.00,-13.63,4.37,-8.08,-9.26,
20.00,4.00,0.0000,-0.0499,-0.0496,0.365180,0.000646,-10.00,8.00,-8.00,-10.00,-13.74,4.43,-4.42,-12.99,
21.00,4.00,0.0000,-0.0497,-0.0496,0.401766,0.000720,-10.00,8.00,-8.00,-10.00,-11.61,7.18,-4.89,-13.82,
22.00,4.00,0.0000,-0.0494,-0.0496,0.487376,0.002456,-10.00,8.00,-8.00,-10.00,-8.47,10.55,-8.99,-10.94,
23.00,4.00,0.0000,-0.0495,-0.0496,0.589846,0.015475,-10.00,8.00,-8.00,-10.00,-6.23,12.00,-11.94,-7.51,
24.00,4.00,0.0000,-0.0498,-0.0496,0.601812,0.036091,-10.00,8.00,-8.00,-10.00,-6.49,10.35,-10.28,-6.00,
25.00,4.00,0.0000,-0.0494,-0.0496,0.523648,0.013588,-10.00,8.00,-8.00,-10.00,-9.07,6.89,-6.20,-7.43,
26.00,4.00,0.0000,-0.0496,-0.0496,0.420305,0.002361,-10.00,8.00,-8.00,-10.00,-12.27,4.28,-4.02,-10.74,
27.00,4.00,0.0000,-0.0499,-0.0496,0.368148,0.000762,-10.00,8.00,-8.00,-10.00,-13.97,4.55,-5.58,-13.51,
28.00,4.00,0.0000,-0.0498,-0.0497,0.374501,0.000762,-10.00,8.00,-8.00,-10.00,-13.04,7.49,-9.43,-13.71,
29.00,4.00,0.0000,-0.0495,-0.0497,0.435940,0.002157,-10.00,8.00,-8.00,-10.00,-10.10,10.93,-11.93,-11.19,
30.00,4.00,0.0000,-0.0492,-0.0496,0.576884,0.012002,-10.00,8.00,-8.00,-10.00,-6.16,11.91,-10.73,-7.68,
31.00,4.00,0.0000,-0.0492,-0.0496,0.573505,0.026309,-10.00,8.00,-8.00,-10.00,-8.01,9.51,-7.16,-6.00,
32.00,4.00,0.0000,-0.0493,-0.0495,0.411725,0.005964,-10.00,8.00,-8.00,-10.00,-12.91,5.81,-4.51,-7.68,
33.00,4.00,0.0000,-0.0498,-0.0496,0.369249,0.001122,-10.00,8.00,-8.00,-10.00,-13.34,4.00,-4.23,-11.31,
34.00,4.00,0.0000,-0.0493,-0.0495,0.462425,0.000729,-10.00,8.00,-8.00,-10.00,-8.95,5.65,-6.51,-13.84,
35.00,4.00,0.0000,-0.0494,-0.0495,0.598637,0.002660,-10.00,8.00,-8.00,-10.00,-6.11,9.37,-9.80,-13.14,
36.00,4.00,0.0000,-0.0493,-0.0495,0.598530,0.020716,-10.00,8.00,-8.00,-10.00,-7.29,11.93,-11.87,-9.86,
37.00,4.00,0.0000,-0.0493,-0.0495,0.443224,0.021828,-10.00,8.00,-8.00,-10.00,-11.26,10.67,-11.31,-6.85,
38.00,4.00,0.0000,-0.0498,-0.0494,0.368511,0.005030,-10.00,8.00,-8.00,-10.00,-13.93,6.82,-8.51,-6.09,
39.00,4.00,0.0000,-0.0497,-0.0495,0.380540,0.001161,-10.00,8.00,-8.00,-10.00,-12.55,4.12,-4.92,-8.12,
40.00,4.00,0.0000,-0.0494,-0.0495,0.471990,0.000712,-10.00,8.00,-8.00,-10.00,-8.89,5.18,-4.25,-11.50,
41.00,4.00,0.0000,-0.0495,-0.0495,0.584726,0.002183,-10.00,8.00,-8.00,-10.00,-6.42,8.90,-7.33,-13.80,
42.00,4.00,0.0000,-0.0497,-0.0495,0.628669,0.017259,-10.00,8.00,-8.00,-10.00,-6.26,11.74,-11.08,-13.39,
43.00,4.00,0.0000,-0.0493,-0.0495,0.528104,0.033229,-10.00,8.00,-8.00,-10.00,-8.52,11.26,-11.75,-10.56,
44.00,4.00,0.0000,-0.0495,-0.0495,0.427816,0.010729,-10.00,8.00,-8.00,-10.00,-11.73,7.88,-8.67,-7.29,
45.00,4.00,0.0000,-0.0498,-0.0495,0.372677,0.002029,-10.00,8.00,-8.00,-10.00,-13.82,4.61,-4.79,-6.01,
46.00,4.00,0.0000,-0.0499,-0.0496,0.368620,0.000685,-10.00,8.00,-8.00,-10.00,-13.45,4.35,-4.46,-7.74,
47.00,4.00,0.0000,-0.0496,-0.0496,0.418072,0.000774,-10.00,8.00,-8.00,-10.00,-10.85,7.34,-8.13,-11.17,
48.00,4.00,0.0000,-0.0494,-0.0496,0.514736,0.003137,-10.00,8.00,-8.00,-10.00,-7.76,10.85,-11.66,-13.72,
49.00,4.00,0.0000,-0.0496,-0.0496,0.605483,0.019787,-10.00,8.00,-8.00,-10.00,-6.05,11.93,-11.04,-13.47,
50.00,4.00,0.0000,-0.0497,-0.0496,0.601076,0.030945,-10.00,8.00,-8.00,-10.00,-6.83,9.62,-6.84,-10.61,
51.00,4.00,0.0000,-0.0493,-0.0496,0.509105,0.008842,-10.00,8.00,-8.00,-10.00,-9.61,5.91,-4.01,-7.43,
52.00,4.00,0.0000,-0.0496,-0.0496,0.408858,0.001621,-10.00,8.00,-8.00,-10.00,-12.63,4.01,-7.31,-6.00,
53.00,4.00,0.0000,-0.0499,-0.0496,0.365685,0.000734,-10.00,8.00,-8.00,-10.00,-14.00,5.56,-11.67,-7.28,
54.00,4.00,0.0000,-0.0498,-0.0497,0.377533,0.001117,-10.00,8.00,-8.00,-10.00,-12.85,9.87,-10.39,-10.41,
55.00,4.00,0.0000,-0.0495,-0.0497,0.441640,0.004205,-10.00,8.00,-8.00,-10.00,-9.92,11.54,-5.93,-13.26,
56.00,4.00,0.0000,-0.0494,-0.0496,0.560636,0.004942,-10.00,8.00,-8.00,-10.00,-6.70,6.13,-4.00,-13.90,
57.00,4.00,0.0000,-0.0500,-0.0496,0.634441,0.001976,-10.00,8.00,-8.00,-10.00,-6.25,4.46,-6.19,-11.89,
58.00,4.00,0.0000,-0.0492,-0.0496,0.545112,0.003863,-10.00,8.00,-8.00,-10.00,-8.95,9.18,-10.25,-8.16,
59.00,4.00,0.0000,-0.0495,-0.0496,0.411579,0.007930,-10.00,8.00,-8.00,-10.00,-12.53,11.85,-11.98,-6.01,
60.00,4.00,0.0000,-0.0499,-0.0496,0.361473,0.006692,-10.00,8.00,-8.00,-10.00,-13.99,11.00,-9.61,-8.68,
61.00,4.00,0.0000,-0.0497,-0.0496,0.388439,0.003246,-10.00,8.00,-8.00,-10.00,-12.10,7.40,-6.02,-12.94,
62.00,4.00,0.0000,-0.0494,-0.0496,0.484504,0.001362,-10.00,8.00,-8.00,-10.00,-8.41,4.35,-4.07,-13.65,
63.00,4.00,0.0000,-0.0495,-0.0496,0.609782,0.001005,-10.00,8.00,-8.00,-10.00,-6.05,4.64,-4.86,-10.00,
64.00,4.00,0.0000,-0.0495,-0.0496,0.609245,0.002613,-10.00,8.00,-8.00,-10.00,-7.31,8.00,-7.83,-6.00,
65.00,4.00,0.0000,-0.0493,-0.0495,0.464925,0.007691,-10.00,8.00,-8.00,-10.00,-11.03,11.17,-10.92,-10.00,
66.00,4.00,0.0000,-0.0498,-0.0495,0.371320,0.008123,-10.00,8.00,-8.00,-10.00,-13.80,11.86,-11.98,-14.00,
67.00,4.00,0.0000,-0.0498,-0.0496,0.369661,0.004844,-10.00,8.00,-8.00,-10.00,-13.10,9.48,-10.27,-10.00,
68.00,4.00,0.0000,-0.0494,-0.0496,0.446189,0.002347,-10.00,8.00,-8.00,-10.00,-9.58,5.93,-6.82,-6.90,
69.00,4.00,0.0000,-0.0494,-0.0496,0.580404,0.001237,-10.00,8.00,-8.00,-10.00,-6.35,4.02,-4.12,-6.09,
70.00,4.00,0.0000,-0.0497,-0.0496,0.625631,0.001292,-10.00,8.00,-8.00,-10.00,-6.76,5.28,-5.18,-8.23,
71.00,4.00,0.0000,-0.0492,-0.0495,0.492547,0.002732,-10.00,8.00,-8.00,-10.00,-10.42,8.75,-8.98,-11.70,
72.00,4.00,0.0000,-0.0497,-0.0495,0.380270,0.004844,-10.00,8.00,-8.00,-10.00,-13.65,11.78,-11.83,-13.89,
73.00,4.00,0.0000,-0.0498,-0.0496,0.367774,0.005150,-10.00,8.00,-8.00,-10.00,-13.24,11.03,-10.96,-13.15,
74.00,4.00,0.0000,-0.0494,-0.0496,0.443751,0.003468,-10.00,8.00,-8.00,-10.00,-9.60,7.25,-6.98,-10.04,
75.00,4.00,0.0000,-0.0494,-0.0496,0.585132,0.001763,-10.00,8.00,-8.00,-10.00,-6.24,4.22,-4.03,-7.13,
76.00,4.00,0.0000,-0.0496,-0.0496,0.615334,0.001361,-10.00,8.00,-8.00,-10.00,-7.14,4.97,-7.89,-6.00,
77.00,4.00,0.0000,-0.0492,-0.0495,0.463593,0.002361,-10.00,8.00,-8.00,-10.00,-11.28,8.60,-11.94,-7.39,
