time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0494,-0.0049,0.675708,0.014924,-10.00,8.00,-8.00,-10.00,-6.08,11.86,-4.57,-6.02,
2.00,4.00,0.0000,-0.0489,-0.0098,0.571341,0.039585,-10.00,8.00,-8.00,-10.00,-8.41,10.00,-4.47,-9.13,
3.00,4.00,0.0000,-0.0494,-0.0147,0.399256,0.005802,-10.00,8.00,-8.00,-10.00,-13.27,5.17,-7.79,-13.79,
4.00,4.00,0.0000,-0.0498,-0.0197,0.373507,0.001038,-10.00,8.00,-8.00,-10.00,-12.92,4.54,-11.32,-11.70,
5.00,4.00,0.0000,-0.0493,-0.0246,0.480481,0.001390,-10.00,8.00,-8.00,-10.00,-8.41,8.98,-11.62,-7.35,
6.00,4.00,0.0000,-0.0495,-0.0296,0.606980,0.011835,-10.00,8.00,-8.00,-10.00,-6.03,12.00,-8.41,-6.08,
7.00,4.00,0.0000,-0.0493,-0.0345,0.588848,0.027817,-10.00,8.00,-8.00,-10.00,-7.62,9.09,-4.06,-8.72,
8.00,4.00,0.0000,-0.0493,-0.0395,0.447689,0.004844,-10.00,8.00,-8.00,-10.00,-11.59,4.56,-7.31,-12.65,
9.00,4.00,0.0000,-0.0498,-0.0444,0.369355,0.001056,-10.00,8.00,-8.00,-10.00,-13.97,5.13,-11.94,-13.92,
10.00,4.00,0.0000,-0.0497,-0.0493,0.383446,0.001268,-10.00,8.00,-8.00,-10.00,-12.38,9.46,-8.69,-11.28,
11.00,4.00,0.0000,-0.0491,-0.0495,0.489110,0.004735,-10.00,8.00,-8.00,-10.00,-7.93,11.91,-5.31,-7.49,
12.00,4.00,0.0000,-0.0499,-0.0495,0.618327,0.023120,-10.00,8.00,-8.00,-10.00,-6.32,10.88,-4.00,-6.02,
13.00,4.00,0.0000,-0.0489,-0.0495,0.479119,0.013499,-10.00,8.00,-8.00,-10.00,-11.02,7.30,-5.34,-8.19,
14.00,4.00,0.0000,-0.0499,-0.0494,0.367665,0.002021,-10.00,8.00,-8.00,-10.00,-13.97,4.34,-8.43,-12.02,
15.00,4.00,0.0000,-0.0493,-0.0495,0.424069,0.000731,-10.00,8.00,-8.00,-10.00,-10.11,4.63,-11.25,-14.00,
16.00,4.00,0.0000,-0.0493,-0.0495,0.565624,0.001433,-10.00,8.00,-8.00,-10.00,-6.53,7.92,-11.91,-12.32,
17.00,4.00,0.0000,-0.0496,-0.0495,0.622119,0.013144,-10.00,8.00,-8.00,-10.00,-6.62,11.79,-9.99,-8.83,
18.00,4.00,0.0000,-0.0491,-0.0495,0.485183,0.024681,-10.00,8.00,-8.00,-10.00,-10.30,10.31,-6.41,-6.43,
19.00,4.00,0.0000,-0.0497,-0.0494,0.381168,0.004662,-10.00,8.00,-8.00,-10.00,-13.67,5.53,-4.01,-6.23,
20.00,4.00,0.0000,-0.0498,-0.0494,0.372006,0.000965,-10.00,8.00,-8.00,-10.00,-13.13,4.28,-5.98,-8.34,
21.00,4.00,0.0000,-0.0494,-0.0495,0.452903,0.001079,-10.00,8.00,-8.00,-10.00,-9.34,8.23,-10.17,-11.48,
22.00,4.00,0.0000,-0.0494,-0.0495,0.582894,0.006418,-10.00,8.00,-8.00,-10.00,-6.28,11.42,-11.98,-13.70,
23.00,4.00,0.0000,-0.0495,-0.0495,0.603377,0.032075,-10.00,8.00,-8.00,-10.00,-6.83,11.65,-9.42,-13.65,
24.00,4.00,0.0000,-0.0492,-0.0495,0.478885,0.018157,-10.00,8.00,-8.00,-10.00,-10.45,8.73,-5.74,-11.36,
25.00,4.00,0.0000,-0.0497,-0.0495,0.381808,0.003211,-10.00,8.00,-8.00,-10.00,-13.64,5.18,-4.01,-7.72,
26.00,4.00,0.0000,-0.0498,-0.0495,0.370087,0.000831,-10.00,8.00,-8.00,-10.00,-13.30,4.06,-5.36,-6.03,
27.00,4.00,0.0000,-0.0495,-0.0495,0.441341,0.000719,-10.00,8.00,-8.00,-10.00,-9.80,6.35,-8.76,-8.56,
28.00,4.00,0.0000,-0.0494,-0.0495,0.567154,0.002935,-10.00,8.00,-8.00,-10.00,-6.57,10.12,-11.57,-12.62,
29.00,4.00,0.0000,-0.0496,-0.0496,0.619090,0.023081,-10.00,8.00,-8.00,-10.00,-6.38,12.00,-11.62,-13.90,
30.00,4.00,0.0000,-0.0492,-0.0495,0.506275,0.026480,-10.00,8.00,-8.00,-10.00,-9.41,10.12,-8.87,-11.03,
31.00,4.00,0.0000,-0.0496,-0.0495,0.400238,0.005723,-10.00,8.00,-8.00,-10.00,-12.96,6.24,-4.67,-6.81,
32.00,4.00,0.0000,-0.0500,-0.0495,0.364414,0.001152,-10.00,8.00,-8.00,-10.00,-13.88,4.02,-4.99,-6.67,
33.00,4.00,0.0000,-0.0496,-0.0496,0.404256,0.000652,-10.00,8.00,-8.00,-10.00,-11.35,5.55,-9.77,-10.98,
34.00,4.00,0.0000,-0.0493,-0.0496,0.513521,0.001757,-10.00,8.00,-8.00,-10.00,-7.65,9.76,-11.92,-13.98,
35.00,4.00,0.0000,-0.0496,-0.0496,0.618387,0.016334,-10.00,8.00,-8.00,-10.00,-6.00,11.90,-8.26,-11.67,
36.00,4.00,0.0000,-0.0493,-0.0495,0.576690,0.022709,-10.00,8.00,-8.00,-10.00,-7.91,8.05,-4.37,-7.03,
37.00,4.00,0.0000,-0.0494,-0.0495,0.443807,0.003489,-10.00,8.00,-8.00,-10.00,-11.67,4.12,-5.14,-6.65,
38.00,4.00,0.0000,-0.0498,-0.0495,0.370150,0.001047,-10.00,8.00,-8.00,-10.00,-13.95,6.15,-9.60,-11.24,
39.00,4.00,0.0000,-0.0498,-0.0496,0.378174,0.001597,-10.00,8.00,-8.00,-10.00,-12.72,10.38,-12.00,-13.99,
40.00,4.00,0.0000,-0.0493,-0.0496,0.461158,0.005189,-10.00,8.00,-8.00,-10.00,-8.98,11.99,-9.24,-10.83,
41.00,4.00,0.0000,-0.0494,-0.0496,0.596892,0.014789,-10.00,8.00,-8.00,-10.00,-6.07,9.83,-4.45,-7.02,
42.00,4.00,0.0000,-0.0494,-0.0496,0.595954,0.009734,-10.00,8.00,-8.00,-10.00,-7.61,5.95,-5.90,-6.16,
43.00,4.00,0.0000,-0.0493,-0.0495,0.442668,0.001993,-10.00,8.00,-8.00,-10.00,-11.86,4.00,-11.24,-8.92,
44.00,4.00,0.0000,-0.0499,-0.0495,0.366902,0.000837,-10.00,8.00,-8.00,-10.00,-14.00,5.82,-10.59,-12.70,
45.00,4.00,0.0000,-0.0496,-0.0496,0.396911,0.001336,-10.00,8.00,-8.00,-10.00,-11.61,10.09,-5.72,-13.93,
