time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.653210,0.010409,-10.00,8.00,-8.00,-10.00,-6.40,11.23,-5.14,-6.00,
2.00,4.00,0.0000,-0.0494,-0.0098,0.617007,0.046392,-10.00,8.00,-8.00,-10.00,-6.87,11.82,-4.00,-10.00,
3.00,4.00,0.0000,-0.0491,-0.0148,0.468574,0.022262,-10.00,8.00,-8.00,-10.00,-10.89,9.29,-5.26,-14.00,
4.00,4.00,0.0000,-0.0498,-0.0197,0.372445,0.003729,-10.00,8.00,-8.00,-10.00,-13.90,5.71,-8.16,-10.00,
5.00,4.00,0.0000,-0.0497,-0.0247,0.380939,0.000923,-10.00,8.00,-8.00,-10.00,-12.49,4.00,-10.97,-6.80,
6.00,4.00,0.0000,-0.0494,-0.0296,0.480203,0.000712,-10.00,8.00,-8.00,-10.00,-8.53,5.56,-11.99,-6.17,
7.00,4.00,0.0000,-0.0495,-0.0346,0.603917,0.002604,-10.00,8.00,-8.00,-10.00,-6.10,9.06,-10.62,-8.68,
8.00,4.00,0.0000,-0.0494,-0.0395,0.609974,0.018823,-10.00,8.00,-8.00,-10.00,-7.04,11.72,-7.67,-12.26,
9.00,4.00,0.0000,-0.0492,-0.0445,0.475352,0.025478,-10.00,8.00,-8.00,-10.00,-10.54,11.42,-4.65,-14.00,
10.00,4.00,0.0000,-0.0497,-0.0494,0.381748,0.007802,-10.00,8.00,-8.00,-10.00,-13.57,8.41,-4.22,-12.47,
11.00,4.00,0.0000,-0.0499,-0.0495,0.366947,0.001842,-10.00,8.00,-8.00,-10.00,-13.51,5.07,-6.71,-8.98,
12.00,4.00,0.0000,-0.0495,-0.0495,0.425432,0.000722,-10.00,8.00,-8.00,-10.00,-10.42,4.06,-10.20,-6.30,
