time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.641802,0.009634,-10.00,8.00,-8.00,-10.00,-6.61,11.13,-4.26,-6.33,
2.00,4.00,0.0000,-0.0495,-0.0098,0.625684,0.045864,-10.00,8.00,-8.00,-10.00,-6.41,11.90,-5.35,-7.09,
3.00,4.00,0.0000,-0.0491,-0.0148,0.498328,0.029588,-10.00,8.00,-8.00,-10.00,-9.60,9.74,-9.86,-11.37,
4.00,4.00,0.0000,-0.0496,-0.0197,0.391986,0.005276,-10.00,8.00,-8.00,-10.00,-13.16,6.26,-11.97,-13.99,
5.00,4.00,0.0000,-0.0499,-0.0247,0.364627,0.001128,-10.00,8.00,-8.00,-10.00,-13.75,4.10,-8.96,-11.80,
6.00,4.00,0.0000,-0.0495,-0.0297,0.415773,0.000609,-10.00,8.00,-8.00,-10.00,-10.81,4.87,-4.65,-7.61,
7.00,4.00,0.0000,-0.0492,-0.0346,0.546593,0.001313,-10.00,8.00,-8.00,-10.00,-6.82,8.00,-4.89,-6.05,
8.00,4.00,0.0000,-0.0497,-0.0395,0.625267,0.009439,-10.00,8.00,-8.00,-10.00,-6.51,10.86,-9.43,-8.68,
9.00,4.00,0.0000,-0.0491,-0.0445,0.479527,0.023579,-10.00,8.00,-8.00,-10.00,-10.42,12.00,-11.99,-12.72,
10.00,4.00,0.0000,-0.0497,-0.0494,0.371199,0.010594,-10.00,8.00,-8.00,-10.00,-13.82,10.68,-9.04,-13.87,
11.00,4.00,0.0000,-0.0497,-0.0495,0.378118,0.003714,-10.00,8.00,-8.00,-10.00,-12.61,7.71,-4.24,-10.90,
12.00,4.00,0.0000,-0.0492,-0.0495,0.484571,0.001633,-10.00,8.00,-8.00,-10.00,-8.20,4.92,-6.65,-7.39,
13.00,4.00,0.0000,-0.0497,-0.0495,0.620847,0.001096,-10.00,8.00,-8.00,-10.00,-6.03,4.03,-11.76,-6.01,
14.00,4.00,0.0000,-0.0491,-0.0495,0.547095,0.001259,-10.00,8.00,-8.00,-10.00,-9.17,5.57,-9.35,-7.71,
15.00,4.00,0.0000,-0.0495,-0.0495,0.394710,0.001712,-10.00,8.00,-8.00,-10.00,-13.41,8.56,-5.04,-11.18,
16.00,4.00,0.0000,-0.0498,-0.0495,0.371895,0.002670,-10.00,8.00,-8.00,-10.00,-13.10,11.20,-4.24,-13.74,
17.00,4.00,0.0000,-0.0492,-0.0495,0.467322,0.006417,-10.00,8.00,-8.00,-10.00,-8.59,11.96,-7.44,-13.41,
18.00,4.00,0.0000,-0.0497,-0.0495,0.605025,0.018357,-10.00,8.00,-8.00,-10.00,-6.03,10.40,-11.24,-10.44,
19.00,4.00,0.0000,-0.0490,-0.0495,0.519959,0.012984,-10.00,8.00,-8.00,-10.00,-9.57,7.44,-11.59,-6.88,
20.00,4.00,0.0000,-0.0496,-0.0495,0.381840,0.002503,-10.00,8.00,-8.00,-10.00,-13.77,4.80,-8.13,-6.25,
21.00,4.00,0.0000,-0.0496,-0.0495,0.385058,0.000753,-10.00,8.00,-8.00,-10.00,-12.17,4.04,-4.20,-9.26,
22.00,4.00,0.0000,-0.0494,-0.0495,0.497882,0.000713,-10.00,8.00,-8.00,-10.00,-8.12,5.60,-5.82,-12.99,
23.00,4.00,0.0000,-0.0496,-0.0495,0.609907,0.002494,-10.00,8.00,-8.00,-10.00,-6.09,8.85,-10.68,-13.82,
24.00,4.00,0.0000,-0.0494,-0.0495,0.611365,0.020606,-10.00,8.00,-8.00,-10.00,-6.85,11.98,-11.56,-10.94,
25.00,4.00,0.0000,-0.0493,-0.0495,0.489847,0.023197,-10.00,8.00,-8.00,-10.00,-9.86,9.61,-7.33,-7.51,
26.00,4.00,0.0000,-0.0496,-0.0495,0.398589,0.004070,-10.00,8.00,-8.00,-10.00,-12.97,5.02,-4.16,-6.00,
27.00,4.00,0.0000,-0.0500,-0.0495,0.364197,0.000921,-10.00,8.00,-8.00,-10.00,-13.96,4.54,-5.33,-7.43,
28.00,4.00,0.0000,-0.0497,-0.0496,0.390137,0.000996,-10.00,8.00,-8.00,-10.00,-12.12,8.50,-9.53,-10.74,
29.00,4.00,0.0000,-0.0491,-0.0496,0.487479,0.003351,-10.00,8.00,-8.00,-10.00,-7.91,11.16,-11.99,-13.51,
30.00,4.00,0.0000,-0.0497,-0.0496,0.608171,0.021145,-10.00,8.00,-8.00,-10.00,-6.59,11.97,-9.93,-13.71,
31.00,4.00,0.0000,-0.0490,-0.0495,0.439401,0.020777,-10.00,8.00,-8.00,-10.00,-12.09,10.45,-6.35,-11.19,
32.00,4.00,0.0000,-0.0498,-0.0495,0.367596,0.004882,-10.00,8.00,-8.00,-10.00,-13.41,7.50,-4.26,-7.71,
