time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.636275,0.008902,-10.00,8.00,-8.00,-10.00,-6.71,10.94,-4.87,-6.29,
2.00,4.00,0.0000,-0.0496,-0.0098,0.630548,0.043201,-10.00,8.00,-8.00,-10.00,-6.26,11.99,-4.10,-7.21,
3.00,4.00,0.0000,-0.0491,-0.0148,0.524377,0.037292,-10.00,8.00,-8.00,-10.00,-9.04,10.46,-6.26,-11.61,
4.00,4.00,0.0000,-0.0495,-0.0197,0.406225,0.008035,-10.00,8.00,-8.00,-10.00,-12.65,7.34,-9.74,-14.00,
5.00,4.00,0.0000,-0.0500,-0.0247,0.363609,0.001628,-10.00,8.00,-8.00,-10.00,-13.97,4.65,-11.90,-11.39,
6.00,4.00,0.0000,-0.0497,-0.0297,0.393935,0.000642,-10.00,8.00,-8.00,-10.00,-11.86,4.12,-11.13,-6.95,
7.00,4.00,0.0000,-0.0493,-0.0346,0.496717,0.000741,-10.00,8.00,-8.00,-10.00,-8.04,6.10,-8.00,-6.60,
8.00,4.00,0.0000,-0.0496,-0.0395,0.619614,0.003611,-10.00,8.00,-8.00,-10.00,-6.00,10.11,-4.07,-10.95,
9.00,4.00,0.0000,-0.0492,-0.0445,0.579488,0.025903,-10.00,8.00,-8.00,-10.00,-7.96,11.66,-6.58,-13.99,
10.00,4.00,0.0000,-0.0493,-0.0494,0.428149,0.009940,-10.00,8.00,-8.00,-10.00,-11.96,6.93,-11.44,-11.52,
11.00,4.00,0.0000,-0.0499,-0.0495,0.366081,0.001460,-10.00,8.00,-8.00,-10.00,-14.00,4.03,-10.61,-7.16,
12.00,4.00,0.0000,-0.0497,-0.0495,0.389844,0.000946,-10.00,8.00,-8.00,-10.00,-12.04,7.94,-6.01,-6.29,
13.00,4.00,0.0000,-0.0490,-0.0495,0.509363,0.003994,-10.00,8.00,-8.00,-10.00,-7.37,11.84,-4.00,-9.91,
14.00,4.00,0.0000,-0.0497,-0.0495,0.612777,0.020296,-10.00,8.00,-8.00,-10.00,-6.80,10.09,-6.24,-13.64,
15.00,4.00,0.0000,-0.0491,-0.0495,0.440669,0.006110,-10.00,8.00,-8.00,-10.00,-12.15,5.25,-10.35,-12.97,
16.00,4.00,0.0000,-0.0499,-0.0494,0.367476,0.001094,-10.00,8.00,-8.00,-10.00,-13.52,4.48,-11.96,-8.85,
17.00,4.00,0.0000,-0.0493,-0.0495,0.462467,0.001273,-10.00,8.00,-8.00,-10.00,-8.95,8.55,-9.36,-6.08,
18.00,4.00,0.0000,-0.0494,-0.0494,0.592304,0.007362,-10.00,8.00,-8.00,-10.00,-6.21,11.26,-5.15,-7.48,
19.00,4.00,0.0000,-0.0495,-0.0495,0.614824,0.037237,-10.00,8.00,-8.00,-10.00,-6.83,11.92,-4.33,-11.56,
20.00,4.00,0.0000,-0.0491,-0.0495,0.480252,0.025130,-10.00,8.00,-8.00,-10.00,-10.27,10.11,-8.09,-13.98,
21.00,4.00,0.0000,-0.0497,-0.0494,0.382485,0.005431,-10.00,8.00,-8.00,-10.00,-13.47,6.97,-11.74,-12.17,
22.00,4.00,0.0000,-0.0499,-0.0494,0.365886,0.001295,-10.00,8.00,-8.00,-10.00,-13.58,4.48,-10.72,-8.12,
23.00,4.00,0.0000,-0.0495,-0.0495,0.423228,0.000617,-10.00,8.00,-8.00,-10.00,-10.51,4.21,-6.64,-6.00,
24.00,4.00,0.0000,-0.0492,-0.0495,0.565236,0.000919,-10.00,8.00,-8.00,-10.00,-6.43,6.32,-4.13,-8.01,
25.00,4.00,0.0000,-0.0495,-0.0495,0.611765,0.004742,-10.00,8.00,-8.00,-10.00,-7.25,9.61,-4.97,-12.07,
26.00,4.00,0.0000,-0.0492,-0.0495,0.439612,0.012200,-10.00,8.00,-8.00,-10.00,-12.01,11.87,-8.42,-14.00,
27.00,4.00,0.0000,-0.0500,-0.0495,0.361031,0.007943,-10.00,8.00,-8.00,-10.00,-13.89,11.21,-11.51,-11.81,
